row_key,district_name,crime_head,month,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,std_6,std_12,accel_3_12,accel_1_12,head_state_lag_1,head_state_roll_3,state_lag_1,state_roll_3,head_state_share,district_roll_3,district_accel,detected_share_lag_1,detected_roll_6,population_m,literacy_pct,urban_pct,pop_density_k,days_in_month,target_spike,target_count,spike_eligible
10-0-2025-02,Shivamogga,All,2025-02,10,0,24301,2,25,22,32,26,26.333,26.167,25.333,25,1.0,5.398,4.497,1.0395,0.9868,1210,1414.67,1210,1414.67,1.0,26.33,0.9868,0.56,14.33,2.051,80.5,35.4,0.242,28,0,17,1
10-0-2025-03,Shivamogga,All,2025-03,10,0,24302,3,17,25,22,24,21.333,25.5,24.583,17,1.0,6.185,5.041,0.8678,0.6915,1077,1192.33,1077,1192.33,1.0,21.33,0.6915,0.4706,14.0,2.051,80.5,35.4,0.242,31,1,34,1
10-0-2025-04,Shivamogga,All,2025-04,10,0,24303,4,34,17,25,26,25.333,27.5,25.417,34,1.0,6.652,5.664,0.9967,1.3377,1168,1151.67,1168,1151.67,1.0,25.33,1.3377,0.6176,16.17,2.051,80.5,35.4,0.242,30,0,35,1
10-0-2025-05,Shivamogga,All,2025-05,10,0,24304,5,35,34,17,18,28.667,27.5,26.167,35,1.0,6.652,6.256,1.0955,1.3376,1168,1137.67,1168,1137.67,1.0,28.67,1.3376,0.3429,14.5,2.051,80.5,35.4,0.242,31,0,29,1
10-0-2025-06,Shivamogga,All,2025-06,10,0,24305,6,29,35,34,28,32.667,27.0,27.083,29,1.0,6.403,5.78,1.2062,1.0708,1190,1175.33,1190,1175.33,1.0,32.67,1.0708,0.4483,13.33,2.051,80.5,35.4,0.242,30,0,26,1
10-0-2025-07,Shivamogga,All,2025-07,10,0,24306,7,26,29,35,25,30.0,27.667,26.917,26,1.0,6.046,5.78,1.1146,0.9659,1187,1181.67,1187,1181.67,1.0,30.0,0.9659,0.5769,13.83,2.051,80.5,35.4,0.242,31,0,23,1
10-0-2025-08,Shivamogga,All,2025-08,10,0,24307,8,23,26,29,21,26.0,27.333,26.75,23,1.0,6.236,5.861,0.972,0.8598,1190,1189.0,1190,1189.0,1.0,26.0,0.8598,0.5652,13.67,2.051,80.5,35.4,0.242,31,0,22,1
10-0-2025-09,Shivamogga,All,2025-09,10,0,24308,9,22,23,26,22,23.667,28.167,26.833,22,1.0,5.014,5.786,0.882,0.8199,1214,1197.0,1214,1197.0,1.0,23.67,0.8199,0.6818,14.83,2.051,80.5,35.4,0.242,30,0,18,1
10-0-2025-10,Shivamogga,All,2025-10,10,0,24309,10,18,22,23,35,21.0,25.5,26.5,18,1.0,5.439,6.158,0.7925,0.6792,1104,1169.33,1104,1169.33,1.0,21.0,0.6792,0.5556,13.0,2.051,80.5,35.4,0.242,31,1,31,1
10-0-2025-11,Shivamogga,All,2025-11,10,0,24310,11,31,18,22,32,23.667,24.833,26.167,31,1.0,4.375,5.786,0.9045,1.1847,1707,1341.67,1707,1341.67,1.0,23.67,1.1847,0.5806,14.0,2.051,80.5,35.4,0.242,30,1,37,1
10-0-2025-12,Shivamogga,All,2025-12,10,0,24311,12,37,31,18,22,28.667,26.167,26.583,37,1.0,6.256,6.344,1.0784,1.3918,1697,1502.67,1697,1502.67,1.0,28.67,1.3918,0.4595,14.67,2.051,80.5,35.4,0.242,31,0,24,1
10-0-2026-01,Shivamogga,All,2026-01,10,0,24312,1,24,37,31,25,30.667,25.833,26.75,24,1.0,6.309,6.247,1.1464,0.8972,1284,1562.67,1284,1562.67,1.0,30.67,0.8972,0.6667,14.83,2.051,80.5,35.4,0.242,31,0,39,1
10-0-2026-02,Shivamogga,All,2026-02,10,0,24313,2,39,24,37,17,33.333,28.5,27.917,39,1.0,7.762,7.065,1.194,1.397,2265,1748.67,2265,1748.67,1.0,33.33,1.397,0.6154,16.67,2.051,80.5,35.4,0.242,28,1,54,1
10-0-2026-03,Shivamogga,All,2026-03,10,0,24314,3,54,39,24,34,39.0,33.833,31.0,54,1.0,11.539,9.336,1.2581,1.7419,2094,1881.0,2094,1881.0,1.0,39.0,1.7419,0.4444,18.17,2.051,80.5,35.4,0.242,31,0,39,1
10-0-2026-04,Shivamogga,All,2026-04,10,0,24315,4,39,54,39,35,44.0,37.333,31.417,39,1.0,9.141,9.57,1.4005,1.2414,2455,2271.33,2455,2271.33,1.0,44.0,1.2414,0.5641,20.17,2.051,80.5,35.4,0.242,30,0,47,1
10-0-2026-05,Shivamogga,All,2026-05,10,0,24316,5,47,39,54,29,46.667,40.0,32.417,47,1.0,9.238,10.476,1.4396,1.4499,2324,2291.0,2324,2291.0,1.0,46.67,1.4499,0.617,22.0,2.051,80.5,35.4,0.242,31,0,55,1
10-0-2026-06,Shivamogga,All,2026-06,10,0,24317,6,55,47,39,26,47.0,43.0,34.583,55,1.0,10.599,12.107,1.359,1.5904,2456,2411.67,2456,2411.67,1.0,47.0,1.5904,0.6545,25.17,2.051,80.5,35.4,0.242,30,0,53,1
11-0-2024-02,Tumakuru,All,2024-02,11,0,24289,2,18,22,38,22,26.0,28.0,25.5,18,1.0,7.118,7.544,1.0196,0.7059,1240,1432.33,1240,1432.33,1.0,26.0,0.7059,0.2778,15.5,3.134,75.1,22.3,0.296,28,0,24,1
11-0-2024-03,Tumakuru,All,2024-03,11,0,24290,3,24,18,22,27,21.333,27.667,25.667,24,1.0,7.25,7.487,0.8312,0.9351,1148,1225.0,1148,1225.0,1.0,21.33,0.9351,0.5417,14.67,3.134,75.1,22.3,0.296,31,0,20,1
11-0-2024-04,Tumakuru,All,2024-04,11,0,24291,4,20,24,18,17,20.667,26.333,25.083,20,1.0,7.782,7.632,0.8239,0.7973,1171,1186.33,1171,1186.33,1.0,20.67,0.7973,0.4,13.33,3.134,75.1,22.3,0.296,30,0,22,1
11-0-2024-05,Tumakuru,All,2024-05,11,0,24292,5,22,20,24,36,22.0,24.0,25.5,22,1.0,6.532,7.309,0.8627,0.8627,1175,1164.67,1175,1164.67,1.0,22.0,0.8627,0.5909,12.17,3.134,75.1,22.3,0.296,31,0,22,1
11-0-2024-06,Tumakuru,All,2024-06,11,0,24293,6,22,22,20,14,21.333,21.333,24.333,22,1.0,1.886,6.625,0.8767,0.9041,1270,1205.33,1270,1205.33,1.0,21.33,0.9041,0.5909,10.67,3.134,75.1,22.3,0.296,30,0,26,1
11-0-2024-07,Tumakuru,All,2024-07,11,0,24294,7,26,22,22,22,23.333,22.0,25.333,26,1.0,2.582,5.85,0.9211,1.0263,1177,1207.33,1177,1207.33,1.0,23.33,1.0263,0.5,10.83,3.134,75.1,22.3,0.296,31,0,24,1
11-0-2024-08,Tumakuru,All,2024-08,11,0,24295,8,24,26,22,26,24.0,23.0,25.5,24,1.0,1.915,5.781,0.9412,0.9412,1103,1183.33,1103,1183.33,1.0,24.0,0.9412,0.6667,12.67,3.134,75.1,22.3,0.296,31,0,23,1
11-0-2024-09,Tumakuru,All,2024-09,11,0,24296,9,23,24,26,28,24.333,22.833,25.25,23,1.0,1.863,5.818,0.9637,0.9109,1214,1164.67,1214,1164.67,1.0,24.33,0.9109,0.6087,12.83,3.134,75.1,22.3,0.296,30,0,26,1
11-0-2024-10,Tumakuru,All,2024-10,11,0,24297,10,26,23,24,36,24.333,23.833,25.083,26,1.0,1.675,5.766,0.9701,1.0365,1190,1169.0,1190,1169.0,1.0,24.33,1.0365,0.5,13.67,3.134,75.1,22.3,0.296,31,0,32,1
11-0-2024-11,Tumakuru,All,2024-11,11,0,24298,11,32,26,23,38,27.0,25.5,24.75,32,1.0,3.253,5.214,1.0909,1.2929,1701,1368.33,1701,1368.33,1.0,27.0,1.2929,0.625,14.83,3.134,75.1,22.3,0.296,30,1,42,1
11-0-2024-12,Tumakuru,All,2024-12,11,0,24299,12,42,32,26,22,33.333,28.833,25.083,42,1.0,6.543,6.103,1.3289,1.6744,1744,1545.0,1744,1545.0,1.0,33.33,1.6744,0.5,16.17,3.134,75.1,22.3,0.296,31,0,35,1
11-0-2025-01,Tumakuru,All,2025-01,11,0,24300,1,35,42,32,18,36.333,30.333,26.167,35,1.0,6.749,6.593,1.3885,1.3376,1290,1578.33,1290,1578.33,1.0,36.33,1.3376,0.5143,17.0,3.134,75.1,22.3,0.296,31,0,28,1
11-0-2025-02,Tumakuru,All,2025-02,11,0,24301,2,28,35,42,24,35.0,31.0,27.0,28,1.0,6.272,6.124,1.2963,1.037,1210,1414.67,1210,1414.67,1.0,35.0,1.037,0.5714,17.0,3.134,75.1,22.3,0.296,28,0,26,1
11-0-2025-03,Tumakuru,All,2025-03,11,0,24302,3,26,28,35,20,29.667,31.5,27.167,26,1.0,5.708,6.067,1.092,0.9571,1077,1192.33,1077,1192.33,1.0,29.67,0.9571,0.5385,17.0,3.134,75.1,22.3,0.296,31,0,22,1
11-0-2025-04,Tumakuru,All,2025-04,11,0,24303,4,22,26,28,22,25.333,30.833,27.333,22,1.0,6.491,5.893,0.9268,0.8049,1168,1151.67,1168,1151.67,1.0,25.33,0.8049,0.6364,17.17,3.134,75.1,22.3,0.296,30,0,26,1
11-0-2025-05,Tumakuru,All,2025-05,11,0,24304,5,26,22,26,22,24.667,29.833,27.667,26,1.0,6.694,5.691,0.8916,0.9398,1168,1137.67,1168,1137.67,1.0,24.67,0.9398,0.6538,16.67,3.134,75.1,22.3,0.296,31,0,25,1
11-0-2025-06,Tumakuru,All,2025-06,11,0,24305,6,25,26,22,26,24.333,27.0,27.917,25,1.0,4.0,5.499,0.8716,0.8955,1190,1175.33,1190,1175.33,1.0,24.33,0.8955,0.64,15.83,3.134,75.1,22.3,0.296,30,0,34,1
11-0-2025-07,Tumakuru,All,2025-07,11,0,24306,7,34,25,26,24,28.333,26.833,28.583,34,1.0,3.67,5.708,0.9913,1.1895,1187,1181.67,1187,1181.67,1.0,28.33,1.1895,0.7059,16.83,3.134,75.1,22.3,0.296,31,0,22,1
11-0-2025-08,Tumakuru,All,2025-08,11,0,24307,8,22,34,25,23,27.0,25.833,28.417,22,1.0,4.017,5.866,0.9501,0.7742,1190,1189.0,1190,1189.0,1.0,27.0,0.7742,0.5,16.0,3.134,75.1,22.3,0.296,31,0,23,1
11-0-2025-09,Tumakuru,All,2025-09,11,0,24308,9,23,22,34,26,26.333,25.333,28.417,23,1.0,4.15,5.866,0.9267,0.8094,1214,1197.0,1214,1197.0,1.0,26.33,0.8094,0.6522,16.17,3.134,75.1,22.3,0.296,30,0,25,1
11-0-2025-10,Tumakuru,All,2025-10,11,0,24309,10,25,23,22,32,23.333,25.833,28.333,25,1.0,3.891,5.907,0.8235,0.8824,1104,1169.33,1104,1169.33,1.0,23.33,0.8824,0.68,16.67,3.134,75.1,22.3,0.296,31,1,42,1
11-0-2025-11,Tumakuru,All,2025-11,11,0,24310,11,42,25,23,42,30.0,28.5,29.167,42,1.0,7.182,6.974,1.0286,1.44,1707,1341.67,1707,1341.67,1.0,30.0,1.44,0.5714,17.83,3.134,75.1,22.3,0.296,30,0,34,1
11-0-2025-12,Tumakuru,All,2025-12,11,0,24311,12,34,42,25,35,33.667,30.0,28.5,34,1.0,7.234,6.035,1.1813,1.193,1697,1502.67,1697,1502.67,1.0,33.67,1.193,0.3529,17.17,3.134,75.1,22.3,0.296,31,0,27,1
11-0-2026-01,Tumakuru,All,2026-01,11,0,24312,1,27,34,42,28,34.333,28.833,27.833,27,1.0,7.057,5.713,1.2335,0.9701,1284,1562.67,1284,1562.67,1.0,34.33,0.9701,0.5556,15.67,3.134,75.1,22.3,0.296,31,0,42,1
11-0-2026-02,Tumakuru,All,2026-02,11,0,24313,2,42,27,34,26,34.333,32.167,29.0,42,1.0,7.733,6.928,1.1839,1.4483,2265,1748.67,2265,1748.67,1.0,34.33,1.4483,0.6429,18.33,3.134,75.1,22.3,0.296,28,0,42,1
11-0-2026-03,Tumakuru,All,2026-03,11,0,24314,3,42,42,27,22,37.0,35.333,30.333,42,1.0,7.203,7.717,1.2198,1.3846,2094,1881.0,2094,1881.0,1.0,37.0,1.3846,0.5952,20.0,3.134,75.1,22.3,0.296,31,0,48,1
11-0-2026-04,Tumakuru,All,2026-04,11,0,24315,4,48,42,42,26,44.0,39.167,32.5,48,1.0,6.793,8.665,1.3538,1.4769,2455,2271.33,2455,2271.33,1.0,44.0,1.4769,0.5833,21.83,3.134,75.1,22.3,0.296,30,0,36,1
11-0-2026-05,Tumakuru,All,2026-05,11,0,24316,5,36,48,42,25,42.0,38.167,33.333,36,1.0,6.743,8.479,1.26,1.08,2324,2291.0,2324,2291.0,1.0,42.0,1.08,0.5833,21.33,3.134,75.1,22.3,0.296,31,0,46,1
11-0-2026-06,Tumakuru,All,2026-06,11,0,24317,6,46,36,48,34,43.333,40.167,35.083,46,1.0,6.986,8.741,1.2352,1.3112,2456,2411.67,2456,2411.67,1.0,43.33,1.3112,0.6304,24.17,3.134,75.1,22.3,0.296,30,0,54,1
12-0-2024-02,Davanagere,All,2024-02,12,0,24289,2,31,23,42,19,32.0,28.667,24.5,31,1.0,6.675,6.825,1.3061,1.2653,1240,1432.33,1240,1432.33,1.0,32.0,1.2653,0.5484,15.33,2.276,75.7,32.3,0.384,28,0,15,1
12-0-2024-03,Davanagere,All,2024-03,12,0,24290,3,15,31,23,25,23.0,26.833,24.167,15,1.0,8.434,7.174,0.9517,0.6207,1148,1225.0,1148,1225.0,1.0,23.0,0.6207,0.4,13.67,2.276,75.7,32.3,0.384,31,0,23,1
12-0-2024-04,Davanagere,All,2024-04,12,0,24291,4,23,15,31,22,23.0,27.0,24.0,23,1.0,8.347,7.176,0.9583,0.9583,1171,1186.33,1171,1186.33,1.0,23.0,0.9583,0.6087,13.5,2.276,75.7,32.3,0.384,30,0,19,1
12-0-2024-05,Davanagere,All,2024-05,12,0,24292,5,19,23,15,22,19.0,25.5,23.75,19,1.0,8.827,7.293,0.8,0.8,1175,1164.67,1175,1164.67,1.0,19.0,0.8,0.5263,13.0,2.276,75.7,32.3,0.384,31,1,28,1
12-0-2024-06,Davanagere,All,2024-06,12,0,24293,6,28,19,23,13,23.333,23.167,24.25,28,1.0,5.305,7.361,0.9622,1.1546,1270,1205.33,1270,1205.33,1.0,23.33,1.1546,0.8214,13.0,2.276,75.7,32.3,0.384,30,0,25,1
12-0-2024-07,Davanagere,All,2024-07,12,0,24294,7,25,28,19,21,24.0,23.5,25.25,25,1.0,5.346,6.534,0.9505,0.9901,1177,1207.33,1177,1207.33,1.0,24.0,0.9901,0.44,13.5,2.276,75.7,32.3,0.384,31,0,24,1
12-0-2024-08,Davanagere,All,2024-08,12,0,24295,8,24,25,28,26,25.667,22.333,25.5,24,1.0,4.23,6.423,1.0065,0.9412,1103,1183.33,1103,1183.33,1.0,25.67,0.9412,0.625,13.17,2.276,75.7,32.3,0.384,31,0,20,1
12-0-2024-09,Davanagere,All,2024-09,12,0,24296,9,20,24,25,22,23.0,23.167,25.0,20,1.0,3.023,6.595,0.92,0.8,1214,1164.67,1214,1164.67,1.0,23.0,0.8,0.3,13.17,2.276,75.7,32.3,0.384,30,0,23,1
12-0-2024-10,Davanagere,All,2024-10,12,0,24297,10,23,20,24,28,22.333,23.167,25.083,23,1.0,3.023,6.563,0.8904,0.9169,1190,1169.0,1190,1169.0,1.0,22.33,0.9169,0.6522,13.33,2.276,75.7,32.3,0.384,31,1,38,1
12-0-2024-11,Davanagere,All,2024-11,12,0,24298,11,38,23,20,42,27.0,26.333,25.917,38,1.0,5.735,7.455,1.0418,1.4662,1701,1368.33,1701,1368.33,1.0,27.0,1.4662,0.5263,15.0,2.276,75.7,32.3,0.384,30,0,30,1
12-0-2024-12,Davanagere,All,2024-12,12,0,24299,12,30,38,23,23,30.333,26.667,24.917,30,1.0,5.878,5.866,1.2174,1.204,1744,1545.0,1744,1545.0,1.0,30.33,1.204,0.5667,14.0,2.276,75.7,32.3,0.384,31,0,19,1
