backlog,open_cases,inflow,cleared,backlog_heinous,backlog_lag1,backlog_lag2,backlog_lag3,cleared_lag1,cleared_lag2,cleared_lag3,inflow_lag1,inflow_lag2,inflow_lag3,backlog_mean3,cleared_mean3,inflow_mean3,growth_3mo,growth_1mo,clearance_rate,clearance_rate_3mo,load,stale_share,heinous_share,month_of_year,target_backlog_up_20pct_3mo
78,83,4,5,17,80,80,76,3,0,0,1,3,2,78.6667,1.0,2.0,0.9915,0.975,0.0641,0.0127,4.0,0.9398,0.2179,5,0
77,86,5,2,17,78,80,80,5,3,0,4,1,3,79.3333,2.6667,2.6667,0.9706,0.9872,0.026,0.0336,1.875,0.8953,0.2208,6,0
80,91,6,1,18,77,78,80,2,5,3,5,4,1,78.3333,3.3333,3.3333,1.0213,1.039,0.0125,0.0426,1.8,0.8791,0.225,7,0
84,94,5,2,18,80,77,78,1,2,5,6,5,4,78.3333,2.6667,5.0,1.0723,1.05,0.0238,0.034,1.875,0.8936,0.2143,8,0
86,98,7,3,18,84,80,77,2,1,2,5,6,5,80.3333,1.6667,5.3333,1.0705,1.0238,0.0349,0.0207,4.2,0.8776,0.2093,9,0
83,93,3,8,18,86,84,80,3,2,1,7,5,6,83.3333,2.0,6.0,0.996,0.9651,0.0964,0.024,1.5,0.8925,0.2169,10,0
88,95,3,1,18,83,86,84,8,3,2,3,7,5,84.3333,4.3333,5.0,1.0435,1.0602,0.0114,0.0514,0.6923,0.9263,0.2045,11,0
89,96,4,3,19,88,83,86,1,8,3,3,3,7,85.6667,4.0,4.3333,1.0389,1.0114,0.0337,0.0467,1.0,0.9271,0.2135,12,0
89,104,10,2,19,89,88,83,3,1,8,4,3,3,86.6667,4.0,3.3333,1.0269,1.0,0.0225,0.0462,2.5,0.8558,0.2135,1,0
93,110,7,1,20,89,89,88,2,3,1,10,4,3,88.6667,2.0,5.6667,1.0489,1.0449,0.0108,0.0226,3.5,0.8455,0.2151,2,0
97,113,9,6,21,93,89,89,1,2,3,7,10,4,90.3333,2.0,7.0,1.0738,1.043,0.0619,0.0221,4.5,0.8584,0.2165,3,0
12,20,3,0,2,5,3,5,0,3,0,4,6,5,4.3333,1.0,5.0,2.7692,2.4,0.0,0.2308,3.0,0.6,0.1667,7,1
15,25,7,2,2,12,5,3,0,0,3,3,4,6,6.6667,1.0,4.3333,2.25,1.25,0.1333,0.15,7.0,0.6,0.1333,8,1
18,28,4,1,2,15,12,5,2,0,0,7,3,4,10.6667,0.6667,4.6667,1.6875,1.2,0.0556,0.0625,6.0,0.6429,0.1111,9,1
21,30,3,1,2,18,15,12,1,2,0,4,7,3,15.0,1.0,4.6667,1.4,1.1667,0.0476,0.0667,3.0,0.7,0.0952,10,1
27,37,8,1,4,21,18,15,1,1,2,3,4,7,18.0,1.3333,4.6667,1.5,1.2857,0.037,0.0741,6.0,0.7297,0.1481,11,1
27,38,3,2,3,27,21,18,1,1,1,8,3,4,22.0,1.0,5.0,1.2273,1.0,0.0741,0.0455,3.0,0.7105,0.1111,12,1
30,39,4,3,2,27,27,21,2,1,1,3,8,3,25.0,1.3333,4.6667,1.2,1.1111,0.1,0.0533,3.0,0.7692,0.0667,1,1
33,41,4,2,4,30,27,27,3,2,1,4,3,8,28.0,2.0,5.0,1.1786,1.1,0.0606,0.0714,2.0,0.8049,0.1212,2,0
35,41,2,2,4,33,30,27,2,3,2,4,4,3,30.0,2.3333,3.6667,1.1667,1.0606,0.0571,0.0778,0.8571,0.8537,0.1143,3,1
38,47,7,1,5,35,33,30,2,2,3,2,4,4,32.6667,2.3333,3.3333,1.1633,1.0857,0.0263,0.0714,3.0,0.8085,0.1316,4,0
39,48,2,1,5,38,35,33,1,2,2,7,2,4,35.3333,1.6667,4.3333,1.1038,1.0263,0.0256,0.0472,1.2,0.8125,0.1282,5,0
45,52,5,1,5,39,38,35,1,1,2,2,7,2,37.3333,1.3333,3.6667,1.2054,1.1538,0.0222,0.0357,3.75,0.8654,0.1111,6,0
44,52,3,3,5,45,39,38,1,1,1,5,2,7,40.6667,1.0,4.6667,1.082,0.9778,0.0682,0.0246,3.0,0.8462,0.1136,7,0
46,52,2,2,6,44,45,39,3,1,1,3,5,2,42.6667,1.6667,3.3333,1.0781,1.0455,0.0435,0.0391,1.2,0.8846,0.1304,8,0
49,58,6,0,8,46,44,45,2,3,1,2,3,5,45.0,2.0,3.3333,1.0889,1.0652,0.0,0.0444,3.0,0.8448,0.1633,9,0
51,64,8,2,9,49,46,44,0,2,3,6,2,3,46.3333,1.6667,3.6667,1.1007,1.0408,0.0392,0.036,4.8,0.7969,0.1765,10,0
54,63,4,5,8,51,49,46,2,0,2,8,6,2,48.6667,1.3333,5.3333,1.1096,1.0588,0.0926,0.0274,3.0,0.8571,0.1481,11,0
57,64,3,2,8,54,51,49,5,2,0,4,8,6,51.3333,2.3333,6.0,1.1104,1.0556,0.0351,0.0455,1.2857,0.8906,0.1404,12,0
61,69,5,0,8,57,54,51,2,5,2,3,4,8,54.0,3.0,5.0,1.1296,1.0702,0.0,0.0556,1.6667,0.8841,0.1311,1,0
61,74,6,1,8,61,57,54,0,2,5,5,3,4,57.3333,2.3333,4.0,1.064,1.0,0.0164,0.0407,2.5714,0.8243,0.1311,2,0
65,74,3,3,9,61,61,57,1,0,2,6,5,3,59.6667,1.0,4.6667,1.0894,1.0656,0.0462,0.0168,3.0,0.8784,0.1385,3,0
66,72,2,4,9,65,61,61,3,1,0,3,6,5,62.3333,1.3333,4.6667,1.0588,1.0154,0.0606,0.0214,1.5,0.9167,0.1364,4,0
68,73,3,2,10,66,65,61,4,3,1,2,3,6,64.0,2.6667,3.6667,1.0625,1.0303,0.0294,0.0417,1.125,0.9315,0.1471,5,0
70,75,3,1,10,68,66,65,2,4,3,3,2,3,66.3333,3.0,2.6667,1.0553,1.0294,0.0143,0.0452,1.0,0.9333,0.1429,6,0
72,80,6,1,10,70,68,66,1,2,4,3,3,2,68.0,2.3333,2.6667,1.0588,1.0286,0.0139,0.0343,2.5714,0.9,0.1389,7,0
73,87,8,1,10,72,70,68,1,1,2,6,3,3,70.0,1.3333,4.0,1.0429,1.0139,0.0137,0.019,6.0,0.8391,0.137,8,0
77,89,4,2,10,73,72,70,1,1,1,8,6,3,71.6667,1.0,5.6667,1.0744,1.0548,0.026,0.014,4.0,0.8652,0.1299,9,0
80,91,7,5,10,77,73,72,2,1,1,4,8,6,74.0,1.3333,6.0,1.0811,1.039,0.0625,0.018,5.25,0.8791,0.125,10,0
82,100,11,2,10,80,77,73,5,2,1,7,4,8,76.6667,2.6667,6.3333,1.0696,1.025,0.0244,0.0348,4.125,0.82,0.122,11,0
84,98,3,5,10,82,80,77,2,5,2,11,7,4,79.6667,3.0,7.3333,1.0544,1.0244,0.0595,0.0377,1.0,0.8571,0.119,12,1
92,107,12,3,10,84,82,80,5,2,5,3,11,7,82.0,4.0,7.0,1.122,1.0952,0.0326,0.0488,3.0,0.8598,0.1087,1,0
92,110,6,3,11,92,84,82,3,5,2,12,3,11,86.0,3.3333,8.6667,1.0698,1.0,0.0326,0.0388,1.8,0.8364,0.1196,2,0
102,120,12,2,11,92,92,84,3,3,5,6,12,3,89.3333,3.6667,7.0,1.1418,1.1087,0.0196,0.041,3.2727,0.85,0.1078,3,0
14,19,1,1,0,9,5,0,1,0,0,4,6,5,4.6667,0.3333,5.0,3.0,1.5556,0.0714,0.0714,3.0,0.7368,0.0,5,0
16,21,4,2,0,14,9,5,1,1,0,1,4,6,9.3333,0.6667,3.6667,1.7143,1.1429,0.125,0.0714,6.0,0.7619,0.0,6,0
14,18,1,4,0,16,14,9,2,1,1,4,1,4,13.0,1.3333,3.0,1.0769,0.875,0.2857,0.1026,0.75,0.7778,0.0,7,0
13,17,3,4,0,14,16,14,4,2,1,1,4,1,14.6667,2.3333,2.0,0.8864,0.9286,0.3077,0.1591,1.2857,0.7647,0.0,8,0
12,19,4,2,0,13,14,16,4,4,2,3,1,4,14.3333,3.3333,2.6667,0.8372,0.9231,0.1667,0.2326,1.2,0.6316,0.0,9,1
12,20,4,3,0,12,13,14,2,4,4,4,3,1,13.0,3.3333,2.6667,0.9231,1.0,0.25,0.2564,1.2,0.6,0.0,10,1
15,25,5,0,0,12,12,13,3,2,4,4,4,3,12.3333,3.0,3.6667,1.2162,1.25,0.0,0.2432,1.6667,0.6,0.0,11,1
18,27,4,2,1,15,12,12,0,3,2,5,4,4,13.0,1.6667,4.3333,1.3846,1.2,0.1111,0.1282,2.4,0.6667,0.0556,12,1
20,29,5,3,1,18,15,12,2,0,3,4,5,4,15.0,1.6667,4.3333,1.3333,1.1111,0.15,0.1111,3.0,0.6897,0.05,1,1
23,34,7,2,2,20,18,15,3,2,0,5,4,5,17.6667,1.6667,4.6667,1.3019,1.15,0.087,0.0943,4.2,0.6765,0.087,2,1
26,39,6,1,3,23,20,18,2,3,2,7,5,4,20.3333,2.3333,5.3333,1.2787,1.1304,0.0385,0.1148,2.5714,0.6667,0.1154,3,1
33,45,6,0,3,26,23,20,1,2,3,6,7,5,23.0,2.0,6.0,1.4348,1.2692,0.0,0.087,3.0,0.7333,0.0909,4,1
38,47,4,2,4,33,26,23,0,1,2,6,6,7,27.3333,1.0,6.3333,1.3902,1.1515,0.0526,0.0366,4.0,0.8085,0.1053,5,0
37,43,2,6,4,38,33,26,2,0,1,4,6,6,32.3333,1.0,5.3333,1.1443,0.9737,0.1622,0.0309,2.0,0.8605,0.1081,6,0
41,48,5,0,4,37,38,33,6,2,0,2,4,6,36.0,2.6667,4.0,1.1389,1.1081,0.0,0.0741,1.875,0.8542,0.0976,7,0
40,51,7,4,4,41,37,38,0,6,2,5,2,4,38.6667,2.6667,3.6667,1.0345,0.9756,0.1,0.069,2.625,0.7843,0.1,8,0
42,50,3,4,4,40,41,37,4,0,6,7,5,2,39.3333,3.3333,4.6667,1.0678,1.05,0.0952,0.0847,0.9,0.84,0.0952,9,0
47,57,7,0,4,42,40,41,4,4,0,3,7,5,41.0,2.6667,5.0,1.1463,1.119,0.0,0.065,2.625,0.8246,0.0851,10,1
45,64,12,5,4,47,42,40,0,4,4,7,3,7,43.0,2.6667,5.6667,1.0465,0.9574,0.1111,0.062,4.5,0.7031,0.0889,11,1
50,67,4,1,4,45,47,42,5,0,4,12,7,3,44.6667,3.0,7.3333,1.1194,1.1111,0.02,0.0672,1.3333,0.7463,0.08,12,1
59,71,6,2,6,50,45,47,1,5,0,4,12,7,47.3333,2.0,7.6667,1.2465,1.18,0.0339,0.0423,3.0,0.831,0.1017,1,0
61,70,2,3,8,59,50,45,2,1,5,6,4,12,51.3333,2.6667,7.3333,1.1883,1.0339,0.0492,0.0519,0.75,0.8714,0.1311,2,0
65,71,3,2,8,61,59,50,3,2,1,2,6,4,56.6667,2.0,4.0,1.1471,1.0656,0.0308,0.0353,1.5,0.9155,0.1231,3,0
67,75,5,1,9,65,61,59,2,3,2,3,2,6,61.6667,2.3333,3.6667,1.0865,1.0308,0.0149,0.0378,2.1429,0.8933,0.1343,4,0
68,82,9,2,8,67,65,61,1,2,3,5,3,2,64.3333,2.0,3.3333,1.057,1.0149,0.0294,0.0311,4.5,0.8293,0.1176,5,0
67,81,6,7,6,68,67,65,2,1,2,9,5,3,66.6667,1.6667,5.6667,1.005,0.9853,0.1045,0.025,3.6,0.8272,0.0896,6,0
72,79,0,2,6,67,68,67,7,2,1,6,9,5,67.3333,3.3333,6.6667,1.0693,1.0746,0.0278,0.0495,0.0,0.9114,0.0833,7,0
75,79,3,3,7,72,67,68,2,7,2,0,6,9,69.0,3.6667,5.0,1.087,1.0417,0.04,0.0531,0.8182,0.9494,0.0933,8,0
74,80,3,2,8,75,72,67,3,2,7,3,0,6,71.3333,4.0,3.0,1.0374,0.9867,0.027,0.0561,0.75,0.925,0.1081,9,0
75,85,6,1,8,74,75,72,2,3,2,3,3,0,73.6667,2.3333,2.0,1.0181,1.0135,0.0133,0.0317,2.5714,0.8824,0.1067,10,0
76,91,9,3,9,75,74,75,1,2,3,6,3,3,74.6667,2.0,4.0,1.0179,1.0133,0.0395,0.0268,4.5,0.8352,0.1184,11,0
81,95,6,2,9,76,75,74,3,1,2,9,6,3,75.0,2.0,6.0,1.08,1.0658,0.0247,0.0267,3.0,0.8526,0.1111,12,0
81,94,8,9,7,81,76,75,2,3,1,6,9,6,77.3333,2.0,7.0,1.0474,1.0,0.1111,0.0259,4.0,0.8617,0.0864,1,0
84,97,5,2,7,81,81,76,9,2,3,8,6,9,79.3333,4.6667,7.6667,1.0588,1.037,0.0238,0.0588,1.0714,0.866,0.0833,2,0
85,99,7,5,6,84,81,81,2,9,2,5,8,6,82.0,4.3333,6.3333,1.0366,1.0119,0.0588,0.0528,1.6154,0.8586,0.0706,3,0
12,19,1,0,1,6,6,2,2,1,0,5,7,3,4.6667,1.0,5.0,2.5714,2.0,0.0,0.2143,1.0,0.6316,0.0833,6,0
12,17,2,4,2,12,6,6,0,2,1,1,5,7,8.0,1.0,4.3333,1.5,1.0,0.3333,0.125,2.0,0.7059,0.1667,7,1
11,17,4,4,3,12,12,6,4,0,2,2,1,5,10.0,2.0,2.6667,1.1,0.9167,0.3636,0.2,2.0,0.6471,0.2727,8,1
11,21,5,1,3,11,12,12,4,4,0,4,2,1,11.6667,2.6667,2.3333,0.9429,1.0,0.0909,0.2286,1.875,0.5238,0.2727,9,1
16,24,4,1,4,11,11,12,1,4,4,5,4,2,11.3333,3.0,3.6667,1.4118,1.4545,0.0625,0.2647,1.3333,0.6667,0.25,10,1
18,29,7,2,4,16,11,11,1,1,4,4,5,4,12.6667,2.0,4.3333,1.4211,1.125,0.1111,0.1579,3.5,0.6207,0.2222,11,1
20,33,7,3,3,18,16,11,2,1,1,7,4,5,15.0,1.3333,5.3333,1.3333,1.1111,0.15,0.0889,5.25,0.6061,0.15,12,1
24,36,7,4,2,20,18,16,3,2,1,7,7,4,18.0,2.0,6.0,1.3333,1.2,0.1667,0.1111,3.5,0.6667,0.0833,1,1
24,34,3,5,2,24,20,18,4,3,2,7,7,7,20.6667,3.0,7.0,1.1613,1.0,0.2083,0.1452,1.0,0.7059,0.0833,2,1
27,38,6,2,2,24,24,20,5,4,3,3,7,7,22.6667,4.0,5.6667,1.1912,1.125,0.0741,0.1765,1.5,0.7105,0.0741,3,1
30,42,5,1,5,27,24,24,2,5,4,6,3,7,25.0,3.6667,5.3333,1.2,1.1111,0.0333,0.1467,1.3636,0.7143,0.1667,4,0
36,45,3,0,6,30,27,24,1,2,5,5,6,3,27.0,2.6667,4.6667,1.3333,1.2,0.0,0.0988,1.125,0.8,0.1667,5,0
37,44,4,5,7,36,30,27,0,1,2,3,5,6,31.0,1.0,4.6667,1.1935,1.0278,0.1351,0.0323,4.0,0.8409,0.1892,6,0
36,43,2,3,7,37,36,30,5,0,1,4,3,5,34.3333,2.0,4.0,1.0485,0.973,0.0833,0.0583,1.0,0.8372,0.1944,7,0
39,46,5,2,8,36,37,36,3,5,0,2,4,3,36.3333,2.6667,3.0,1.0734,1.0833,0.0513,0.0734,1.875,0.8478,0.2051,8,0
37,46,3,3,8,39,36,37,2,3,5,5,2,4,37.3333,3.3333,3.6667,0.9911,0.9487,0.0811,0.0893,0.9,0.8043,0.2162,9,0
40,50,7,3,8,37,39,36,3,2,3,3,5,2,37.3333,2.6667,3.3333,1.0714,1.0811,0.075,0.0714,2.625,0.8,0.2,10,1
40,58,10,2,8,40,37,39,3,3,2,7,3,5,38.6667,2.6667,5.0,1.0345,1.0,0.05,0.069,3.75,0.6897,0.2,11,1
41,55,4,7,9,40,40,37,2,3,3,10,7,3,39.0,2.6667,6.6667,1.0513,1.025,0.1707,0.0684,1.5,0.7455,0.2195,12,1
50,62,8,1,11,41,40,40,7,2,3,4,10,7,40.3333,4.0,7.0,1.2397,1.2195,0.02,0.0992,2.0,0.8065,0.22,1,0
50,61,2,3,10,50,41,40,1,7,2,8,4,10,43.6667,3.3333,7.3333,1.145,1.0,0.06,0.0763,0.6,0.8197,0.2,2,0
55,61,3,3,11,50,50,41,3,1,7,2,8,4,47.0,3.6667,4.6667,1.1702,1.1,0.0545,0.078,0.8182,0.9016,0.2,3,0
54,60,2,3,11,55,50,50,3,3,1,3,2,8,51.6667,2.3333,4.3333,1.0452,0.9818,0.0556,0.0452,0.8571,0.9,0.2037,4,0
56,64,6,2,12,54,55,50,3,3,3,2,3,2,53.0,3.0,2.3333,1.0566,1.037,0.0357,0.0566,2.0,0.875,0.2143,5,0
57,70,6,0,12,56,54,55,2,3,3,6,2,3,55.0,2.6667,3.6667,1.0364,1.0179,0.0,0.0485,2.25,0.8143,0.2105,6,1
62,73,5,2,13,57,56,54,0,2,3,6,6,2,55.6667,1.6667,4.6667,1.1138,1.0877,0.0323,0.0299,3.0,0.8493,0.2097,7,0
66,75,3,1,13,62,57,56,2,0,2,5,6,6,58.3333,1.3333,5.6667,1.1314,1.0645,0.0152,0.0229,2.25,0.88,0.197,8,0
70,75,2,2,14,66,62,57,1,2,0,3,5,6,61.6667,1.0,4.6667,1.1351,1.0606,0.0286,0.0162,2.0,0.9333,0.2,9,0
69,76,5,4,14,70,66,62,2,1,2,2,3,5,66.0,1.6667,3.3333,1.0455,0.9857,0.058,0.0253,3.0,0.9079,0.2029,10,0
70,76,2,2,15,69,70,66,4,2,1,5,2,3,68.3333,2.3333,3.3333,1.0244,1.0145,0.0286,0.0341,0.8571,0.9211,0.2143,11,0
73,78,3,1,15,70,69,70,2,4,2,2,5,2,69.6667,2.6667,3.0,1.0478,1.0429,0.0137,0.0383,1.125,0.9359,0.2055,12,0
74,86,9,1,15,73,70,69,1,2,4,3,2,5,70.6667,2.3333,3.3333,1.0472,1.0137,0.0135,0.033,3.8571,0.8605,0.2027,1,0
76,93,8,1,15,74,73,70,1,1,2,9,3,2,72.3333,1.3333,4.6667,1.0507,1.027,0.0132,0.0184,6.0,0.8172,0.1974,2,1
84,103,11,1,15,76,74,73,1,1,1,8,9,3,74.3333,1.0,6.6667,1.13,1.1053,0.0119,0.0135,11.0,0.8155,0.1786,3,0
12,18,3,0,1,4,0,0,0,1,0,2,8,6,1.3333,0.3333,5.3333,9.0,3.0,0.0,0.25,9.0,0.6667,0.0833,4,1
14,19,2,1,2,12,4,0,0,0,1,3,2,8,5.3333,0.3333,4.3333,2.625,1.1667,0.0714,0.0625,6.0,0.7368,0.1429,5,1
15,20,3,2,2,14,12,4,1,0,0,2,3,2,10.0,0.3333,2.3333,1.5,1.0714,0.1333,0.0333,9.0,0.75,0.1333,6,1
15,23,4,1,2,15,14,12,2,1,0,3,2,3,13.6667,1.0,2.6667,1.0976,1.0,0.0667,0.0732,4.0,0.6522,0.1333,7,1
18,32,10,1,3,15,15,14,1,2,1,4,3,2,14.6667,1.3333,3.0,1.2273,1.2,0.0556,0.0909,7.5,0.5625,0.1667,8,1
22,35,4,1,4,18,15,15,1,1,2,10,4,3,16.0,1.3333,5.6667,1.375,1.2222,0.0455,0.0833,3.0,0.6286,0.1818,9,1
28,46,12,1,4,22,18,15,1,1,1,4,10,4,18.3333,1.0,6.0,1.5273,1.2727,0.0357,0.0545,12.0,0.6087,0.1429,10,1
32,49,5,2,5,28,22,18,1,1,1,12,4,10,22.6667,1.0,8.6667,1.4118,1.1429,0.0625,0.0441,5.0,0.6531,0.1562,11,1
39,50,5,4,5,32,28,22,2,1,1,5,12,4,27.3333,1.3333,7.0,1.4268,1.2188,0.1026,0.0488,3.75,0.78,0.1282,12,1
40,53,8,5,5,39,32,28,4,2,1,5,5,12,33.0,2.3333,7.3333,1.2121,1.0256,0.125,0.0707,3.4286,0.7547,0.125,1,0
43,55,4,2,6,40,39,32,5,4,2,8,5,5,37.0,3.6667,6.0,1.1622,1.075,0.0465,0.0991,1.0909,0.7818,0.1395,2,0
49,57,4,2,6,43,40,39,2,5,4,4,8,5,40.6667,3.6667,5.6667,1.2049,1.1395,0.0408,0.0902,1.0909,0.8596,0.1224,3,0
48,57,5,5,6,49,43,40,2,2,5,4,4,8,44.0,3.0,5.3333,1.0909,0.9796,0.1042,0.0682,1.6667,0.8421,0.125,4,0
48,57,4,4,6,48,49,43,5,2,2,5,4,4,46.6667,3.0,4.3333,1.0286,1.0,0.0833,0.0643,1.3333,0.8421,0.125,5,0
53,60,3,0,6,48,48,49,4,5,2,4,5,4,48.3333,3.6667,4.3333,1.0966,1.1042,0.0,0.0759,0.8182,0.8833,0.1132,6,0
52,58,1,3,6,53,48,48,0,4,5,3,4,5,49.6667,3.0,4.0,1.047,0.9811,0.0577,0.0604,0.3333,0.8966,0.1154,7,0
56,65,7,0,8,52,53,48,3,0,4,1,3,4,51.0,2.3333,2.6667,1.098,1.0769,0.0,0.0458,3.0,0.8615,0.1429,8,0
56,66,5,4,8,56,52,53,0,3,0,7,1,3,53.6667,1.0,3.6667,1.0435,1.0,0.0714,0.0186,5.0,0.8485,0.1429,9,0
58,67,4,3,8,56,56,52,4,0,3,5,7,1,54.6667,2.3333,4.3333,1.061,1.0357,0.0517,0.0427,1.7143,0.8657,0.1379,10,0
60,68,4,3,8,58,56,56,3,4,0,4,5,7,56.6667,2.3333,5.3333,1.0588,1.0345,0.05,0.0412,1.7143,0.8824,0.1333,11,0
62,76,10,2,8,60,58,56,3,3,4,4,4,5,58.0,3.3333,4.3333,1.069,1.0333,0.0323,0.0575,3.0,0.8158,0.129,12,0
62,73,1,4,8,62,60,58,2,3,3,10,4,4,60.0,2.6667,6.0,1.0333,1.0,0.0645,0.0444,0.375,0.8493,0.129,1,0
69,73,3,3,8,62,62,60,4,2,3,1,10,4,61.3333,3.0,5.0,1.125,1.1129,0.0435,0.0489,1.0,0.9452,0.1159,2,0
67,71,2,4,8,69,62,62,3,4,2,3,1,10,64.3333,3.0,4.6667,1.0415,0.971,0.0597,0.0466,0.6667,0.9437,0.1194,3,0
66,70,2,3,8,67,69,62,4,3,4,2,3,1,66.0,3.6667,2.0,1.0,0.9851,0.0455,0.0556,0.5455,0.9429,0.1212,4,0
66,71,3,2,8,66,67,69,3,4,3,2,2,3,67.3333,3.3333,2.3333,0.9802,1.0,0.0303,0.0495,0.9,0.9296,0.1212,5,0
68,75,4,0,9,66,66,67,2,3,4,3,2,2,66.3333,3.0,2.3333,1.0251,1.0303,0.0,0.0452,1.3333,0.9067,0.1324,6,0
70,79,4,0,9,68,66,66,0,2,3,4,3,2,66.6667,1.6667,3.0,1.05,1.0294,0.0,0.025,2.4,0.8861,0.1286,7,0
73,86,8,1,10,70,68,66,0,0,2,4,4,3,68.0,0.6667,3.6667,1.0735,1.0429,0.0137,0.0098,12.0,0.8488,0.137,8,0
75,86,2,2,10,73,70,68,1,0,0,8,4,4,70.3333,0.3333,5.3333,1.0664,1.0274,0.0267,0.0047,6.0,0.8721,0.1333,9,0
83,90,4,0,11,75,73,70,2,1,0,2,8,4,72.6667,1.0,4.6667,1.1422,1.1067,0.0,0.0138,4.0,0.9222,0.1325,10,0
86,96,6,0,12,83,75,73,0,2,1,4,2,8,77.0,1.0,4.6667,1.1169,1.0361,0.0,0.013,6.0,0.8958,0.1395,11,0
88,98,3,1,12,86,83,75,0,0,2,6,4,2,81.3333,0.6667,4.0,1.082,1.0233,0.0114,0.0082,4.5,0.898,0.1364,12,0
88,95,3,6,12,88,86,83,1,0,0,3,6,4,85.6667,0.3333,4.3333,1.0272,1.0,0.0682,0.0039,9.0,0.9263,0.1364,1,0
87,97,6,4,12,88,88,86,6,1,0,3,3,6,87.3333,2.3333,4.0,0.9962,0.9886,0.046,0.0267,2.5714,0.8969,0.1379,2,0
89,106,11,2,13,87,88,88,4,6,1,6,3,3,87.6667,3.6667,4.0,1.0152,1.023,0.0225,0.0418,3.0,0.8396,0.1461,3,0
