row_key,district_name,crime_head,month,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,target
1-1-2026-04,Bengaluru City,Crimes Against Body,2026-04,1,1,24315,4,153,114,139,95,135.333,96.5,83.917,996,0.1536,142
1-1-2026-05,Bengaluru City,Crimes Against Body,2026-05,1,1,24316,5,142,153,114,76,136.333,110.167,87.833,947,0.1499,138
1-1-2026-06,Bengaluru City,Crimes Against Body,2026-06,1,1,24317,6,138,142,153,60,144.333,123.0,93.0,1026,0.1345,117
1-2-2024-02,Bengaluru City,Crimes Against Property,2024-02,1,2,24289,2,207,200,451,176,286.0,271.833,224.333,500,0.414,198
1-2-2024-03,Bengaluru City,Crimes Against Property,2024-03,1,2,24290,3,198,207,200,196,201.667,272.167,226.167,481,0.4116,184
1-2-2024-04,Bengaluru City,Crimes Against Property,2024-04,1,2,24291,4,184,198,207,173,196.333,273.833,225.167,481,0.3825,177
1-2-2024-05,Bengaluru City,Crimes Against Property,2024-05,1,2,24292,5,177,184,198,177,186.333,236.167,225.5,489,0.362,228
1-2-2024-06,Bengaluru City,Crimes Against Property,2024-06,1,2,24293,6,228,177,184,154,196.333,199.0,229.75,536,0.4254,181
1-2-2024-07,Bengaluru City,Crimes Against Property,2024-07,1,2,24294,7,181,228,177,185,195.333,195.833,232.0,485,0.3732,170
1-2-2024-08,Bengaluru City,Crimes Against Property,2024-08,1,2,24295,8,170,181,228,196,193.0,189.667,230.75,439,0.3872,204
1-2-2024-09,Bengaluru City,Crimes Against Property,2024-09,1,2,24296,9,204,170,181,174,185.0,190.667,231.417,517,0.3946,180
1-2-2024-10,Bengaluru City,Crimes Against Property,2024-10,1,2,24297,10,180,204,170,403,184.667,190.0,231.917,491,0.3666,391
1-2-2024-11,Bengaluru City,Crimes Against Property,2024-11,1,2,24298,11,391,180,204,451,258.333,225.667,230.917,716,0.5461,382
1-2-2024-12,Bengaluru City,Crimes Against Property,2024-12,1,2,24299,12,382,391,180,200,317.667,251.333,225.167,685,0.5577,213
1-2-2025-01,Bengaluru City,Crimes Against Property,2025-01,1,2,24300,1,213,382,391,207,328.667,256.667,226.25,517,0.412,185
1-2-2025-02,Bengaluru City,Crimes Against Property,2025-02,1,2,24301,2,185,213,382,198,260.0,259.167,224.417,501,0.3693,186
1-2-2025-03,Bengaluru City,Crimes Against Property,2025-03,1,2,24302,3,186,185,213,184,194.667,256.167,223.417,474,0.3924,161
1-2-2025-04,Bengaluru City,Crimes Against Property,2025-04,1,2,24303,4,161,186,185,177,177.333,253.0,221.5,473,0.3404,165
1-2-2025-05,Bengaluru City,Crimes Against Property,2025-05,1,2,24304,5,165,161,186,228,170.667,215.333,220.5,481,0.343,184
1-2-2025-06,Bengaluru City,Crimes Against Property,2025-06,1,2,24305,6,184,165,161,181,170.0,182.333,216.833,493,0.3732,178
1-2-2025-07,Bengaluru City,Crimes Against Property,2025-07,1,2,24306,7,178,184,165,170,175.667,176.5,216.583,487,0.3655,186
1-2-2025-08,Bengaluru City,Crimes Against Property,2025-08,1,2,24307,8,186,178,184,204,182.667,176.667,217.917,514,0.3619,170
1-2-2025-09,Bengaluru City,Crimes Against Property,2025-09,1,2,24308,9,170,186,178,180,178.0,174.0,215.083,484,0.3512,175
1-2-2025-10,Bengaluru City,Crimes Against Property,2025-10,1,2,24309,10,175,170,186,391,177.0,176.333,214.667,465,0.3763,377
1-2-2025-11,Bengaluru City,Crimes Against Property,2025-11,1,2,24310,11,377,175,170,382,240.667,211.667,213.5,660,0.5712,385
1-2-2025-12,Bengaluru City,Crimes Against Property,2025-12,1,2,24311,12,385,377,175,213,312.333,245.167,213.75,668,0.5763,209
1-2-2026-01,Bengaluru City,Crimes Against Property,2026-01,1,2,24312,1,209,385,377,185,323.667,250.333,213.417,529,0.3951,350
1-2-2026-02,Bengaluru City,Crimes Against Property,2026-02,1,2,24313,2,350,209,385,186,314.667,277.667,227.167,931,0.3759,312
1-2-2026-03,Bengaluru City,Crimes Against Property,2026-03,1,2,24314,3,312,350,209,161,290.333,301.333,237.667,849,0.3675,367
1-2-2026-04,Bengaluru City,Crimes Against Property,2026-04,1,2,24315,4,367,312,350,165,343.0,333.333,254.833,996,0.3685,351
1-2-2026-05,Bengaluru City,Crimes Against Property,2026-05,1,2,24316,5,351,367,312,184,343.333,329.0,270.333,947,0.3706,404
1-2-2026-06,Bengaluru City,Crimes Against Property,2026-06,1,2,24317,6,404,351,367,178,374.0,332.167,288.667,1026,0.3938,409
1-3-2024-02,Bengaluru City,Crimes Against Women,2024-02,1,3,24289,2,36,39,46,38,40.333,38.5,37.417,500,0.072,29
1-3-2024-03,Bengaluru City,Crimes Against Women,2024-03,1,3,24290,3,29,36,39,32,34.667,39.167,36.667,481,0.0603,40
1-3-2024-04,Bengaluru City,Crimes Against Women,2024-04,1,3,24291,4,40,29,36,44,35.0,39.167,37.333,481,0.0832,42
1-3-2024-05,Bengaluru City,Crimes Against Women,2024-05,1,3,24292,5,42,40,29,40,37.0,38.667,37.167,489,0.0859,35
1-3-2024-06,Bengaluru City,Crimes Against Women,2024-06,1,3,24293,6,35,42,40,35,39.0,36.833,36.75,536,0.0653,45
1-3-2024-07,Bengaluru City,Crimes Against Women,2024-07,1,3,24294,7,45,35,42,29,40.667,37.833,37.583,485,0.0928,37
1-3-2024-08,Bengaluru City,Crimes Against Women,2024-08,1,3,24295,8,37,45,35,25,39.0,38.0,38.25,439,0.0843,34
1-3-2024-09,Bengaluru City,Crimes Against Women,2024-09,1,3,24296,9,34,37,45,40,38.667,38.833,39.0,517,0.0658,24
1-3-2024-10,Bengaluru City,Crimes Against Women,2024-10,1,3,24297,10,24,34,37,45,31.667,36.167,37.667,491,0.0489,41
1-3-2024-11,Bengaluru City,Crimes Against Women,2024-11,1,3,24298,11,41,24,34,46,33.0,36.0,37.333,716,0.0573,41
1-3-2024-12,Bengaluru City,Crimes Against Women,2024-12,1,3,24299,12,41,41,24,39,35.333,37.0,36.917,685,0.0599,42
1-3-2025-01,Bengaluru City,Crimes Against Women,2025-01,1,3,24300,1,42,41,41,36,41.333,36.5,37.167,517,0.0812,37
1-3-2025-02,Bengaluru City,Crimes Against Women,2025-02,1,3,24301,2,37,42,41,29,40.0,36.5,37.25,501,0.0739,31
1-3-2025-03,Bengaluru City,Crimes Against Women,2025-03,1,3,24302,3,31,37,42,40,36.667,36.0,37.417,474,0.0654,48
1-3-2025-04,Bengaluru City,Crimes Against Women,2025-04,1,3,24303,4,48,31,37,42,38.667,40.0,38.083,473,0.1015,26
1-3-2025-05,Bengaluru City,Crimes Against Women,2025-05,1,3,24304,5,26,48,31,35,35.0,37.5,36.75,481,0.0541,30
1-3-2025-06,Bengaluru City,Crimes Against Women,2025-06,1,3,24305,6,30,26,48,45,34.667,35.667,36.333,493,0.0609,39
1-3-2025-07,Bengaluru City,Crimes Against Women,2025-07,1,3,24306,7,39,30,26,37,31.667,35.167,35.833,487,0.0801,38
1-3-2025-08,Bengaluru City,Crimes Against Women,2025-08,1,3,24307,8,38,39,30,34,35.667,35.333,35.917,514,0.0739,41
1-3-2025-09,Bengaluru City,Crimes Against Women,2025-09,1,3,24308,9,41,38,39,24,39.333,37.0,36.5,484,0.0847,38
1-3-2025-10,Bengaluru City,Crimes Against Women,2025-10,1,3,24309,10,38,41,38,41,39.0,35.333,37.667,465,0.0817,45
1-3-2025-11,Bengaluru City,Crimes Against Women,2025-11,1,3,24310,11,45,38,41,41,41.333,38.5,38.0,660,0.0682,36
1-3-2025-12,Bengaluru City,Crimes Against Women,2025-12,1,3,24311,12,36,45,38,42,39.667,39.5,37.583,668,0.0539,43
1-3-2026-01,Bengaluru City,Crimes Against Women,2026-01,1,3,24312,1,43,36,45,37,41.333,40.167,37.667,529,0.0813,75
1-3-2026-02,Bengaluru City,Crimes Against Women,2026-02,1,3,24313,2,75,43,36,31,51.333,46.333,40.833,931,0.0806,74
1-3-2026-03,Bengaluru City,Crimes Against Women,2026-03,1,3,24314,3,74,75,43,48,64.0,51.833,44.417,849,0.0872,78
1-3-2026-04,Bengaluru City,Crimes Against Women,2026-04,1,3,24315,4,78,74,75,26,75.667,58.5,46.917,996,0.0783,78
1-3-2026-05,Bengaluru City,Crimes Against Women,2026-05,1,3,24316,5,78,78,74,30,76.667,64.0,51.25,947,0.0824,91
1-3-2026-06,Bengaluru City,Crimes Against Women,2026-06,1,3,24317,6,91,78,78,39,82.333,73.167,56.333,1026,0.0887,93
1-4-2024-02,Bengaluru City,Cyber Crime,2024-02,1,4,24289,2,83,103,87,74,91.0,92.0,89.167,500,0.166,105
1-4-2024-03,Bengaluru City,Cyber Crime,2024-03,1,4,24290,3,105,83,103,81,97.0,95.333,91.75,481,0.2183,88
1-4-2024-04,Bengaluru City,Cyber Crime,2024-04,1,4,24291,4,88,105,83,85,92.0,94.667,92.333,481,0.183,89
1-4-2024-05,Bengaluru City,Cyber Crime,2024-05,1,4,24292,5,89,88,105,89,94.0,92.5,92.667,489,0.182,91
1-4-2024-06,Bengaluru City,Cyber Crime,2024-06,1,4,24293,6,91,89,88,90,89.333,93.167,92.833,536,0.1698,93
1-4-2024-07,Bengaluru City,Cyber Crime,2024-07,1,4,24294,7,93,91,89,99,91.0,91.5,93.083,485,0.1918,80
1-4-2024-08,Bengaluru City,Cyber Crime,2024-08,1,4,24295,8,80,93,91,85,88.0,91.0,91.5,439,0.1822,99
1-4-2024-09,Bengaluru City,Cyber Crime,2024-09,1,4,24296,9,99,80,93,92,90.667,90.0,92.667,517,0.1915,95
1-4-2024-10,Bengaluru City,Cyber Crime,2024-10,1,4,24297,10,95,99,80,102,91.333,91.167,92.917,491,0.1935,92
1-4-2024-11,Bengaluru City,Cyber Crime,2024-11,1,4,24298,11,92,95,99,87,95.333,91.667,92.083,716,0.1285,85
1-4-2024-12,Bengaluru City,Cyber Crime,2024-12,1,4,24299,12,85,92,95,103,90.667,90.667,91.917,685,0.1241,101
1-4-2025-01,Bengaluru City,Cyber Crime,2025-01,1,4,24300,1,101,85,92,83,92.667,92.0,91.75,517,0.1954,101
1-4-2025-02,Bengaluru City,Cyber Crime,2025-02,1,4,24301,2,101,101,85,105,95.667,95.5,93.25,501,0.2016,100
1-4-2025-03,Bengaluru City,Cyber Crime,2025-03,1,4,24302,3,100,101,101,88,100.667,95.667,92.833,474,0.211,97
1-4-2025-04,Bengaluru City,Cyber Crime,2025-04,1,4,24303,4,97,100,101,89,99.333,96.0,93.583,473,0.2051,88
1-4-2025-05,Bengaluru City,Cyber Crime,2025-05,1,4,24304,5,88,97,100,91,95.0,95.333,93.5,481,0.183,83
1-4-2025-06,Bengaluru City,Cyber Crime,2025-06,1,4,24305,6,83,88,97,93,89.333,95.0,92.833,493,0.1684,89
1-4-2025-07,Bengaluru City,Cyber Crime,2025-07,1,4,24306,7,89,83,88,80,86.667,93.0,92.5,487,0.1828,99
1-4-2025-08,Bengaluru City,Cyber Crime,2025-08,1,4,24307,8,99,89,83,99,90.333,92.667,94.083,514,0.1926,101
1-4-2025-09,Bengaluru City,Cyber Crime,2025-09,1,4,24308,9,101,99,89,95,96.333,92.833,94.25,484,0.2087,83
1-4-2025-10,Bengaluru City,Cyber Crime,2025-10,1,4,24309,10,83,101,99,92,94.333,90.5,93.25,465,0.1785,80
1-4-2025-11,Bengaluru City,Cyber Crime,2025-11,1,4,24310,11,80,83,101,85,88.0,89.167,92.25,660,0.1212,85
1-4-2025-12,Bengaluru City,Cyber Crime,2025-12,1,4,24311,12,85,80,83,101,82.667,89.5,92.25,668,0.1272,105
1-4-2026-01,Bengaluru City,Cyber Crime,2026-01,1,4,24312,1,105,85,80,101,90.0,92.167,92.583,529,0.1985,166
1-4-2026-02,Bengaluru City,Cyber Crime,2026-02,1,4,24313,2,166,105,85,100,118.667,103.333,98.0,931,0.1783,164
1-4-2026-03,Bengaluru City,Cyber Crime,2026-03,1,4,24314,3,164,166,105,97,145.0,113.833,103.333,849,0.1932,176
1-4-2026-04,Bengaluru City,Cyber Crime,2026-04,1,4,24315,4,176,164,166,88,168.667,129.333,109.917,996,0.1767,175
1-4-2026-05,Bengaluru City,Cyber Crime,2026-05,1,4,24316,5,175,176,164,83,171.667,145.167,117.167,947,0.1848,188
1-4-2026-06,Bengaluru City,Cyber Crime,2026-06,1,4,24317,6,188,175,176,89,179.667,162.333,125.917,1026,0.1832,168
1-5-2024-02,Bengaluru City,Economic Offences,2024-02,1,5,24289,2,48,48,39,34,45.0,40.333,39.333,500,0.096,33
1-5-2024-03,Bengaluru City,Economic Offences,2024-03,1,5,24290,3,33,48,48,48,43.0,39.167,39.25,481,0.0686,42
1-5-2024-04,Bengaluru City,Economic Offences,2024-04,1,5,24291,4,42,33,48,27,41.0,40.833,38.75,481,0.0873,45
1-5-2024-05,Bengaluru City,Economic Offences,2024-05,1,5,24292,5,45,42,33,41,40.0,42.5,40.25,489,0.092,36
1-5-2024-06,Bengaluru City,Economic Offences,2024-06,1,5,24293,6,36,45,42,34,41.0,42.0,39.833,536,0.0672,31
1-5-2024-07,Bengaluru City,Economic Offences,2024-07,1,5,24294,7,31,36,45,46,37.333,39.167,39.583,485,0.0639,35
1-5-2024-08,Bengaluru City,Economic Offences,2024-08,1,5,24295,8,35,31,36,40,34.0,37.0,38.667,439,0.0797,44
1-5-2024-09,Bengaluru City,Economic Offences,2024-09,1,5,24296,9,44,35,31,32,36.667,38.833,39.0,517,0.0851,47
1-5-2024-10,Bengaluru City,Economic Offences,2024-10,1,5,24297,10,47,44,35,35,42.0,39.667,40.25,491,0.0957,49
1-5-2024-11,Bengaluru City,Economic Offences,2024-11,1,5,24298,11,49,47,44,39,46.667,40.333,41.417,716,0.0684,34
1-5-2024-12,Bengaluru City,Economic Offences,2024-12,1,5,24299,12,34,49,47,48,43.333,40.0,41.0,685,0.0496,38
1-5-2025-01,Bengaluru City,Economic Offences,2025-01,1,5,24300,1,38,34,49,48,40.333,41.167,40.167,517,0.0735,45
1-5-2025-02,Bengaluru City,Economic Offences,2025-02,1,5,24301,2,45,38,34,33,39.0,42.833,39.917,501,0.0898,33
1-5-2025-03,Bengaluru City,Economic Offences,2025-03,1,5,24302,3,33,45,38,42,38.667,41.0,39.917,474,0.0696,40
1-5-2025-04,Bengaluru City,Economic Offences,2025-04,1,5,24303,4,40,33,45,45,39.333,39.833,39.75,473,0.0846,43
1-5-2025-05,Bengaluru City,Economic Offences,2025-05,1,5,24304,5,43,40,33,36,38.667,38.833,39.583,481,0.0894,47
1-5-2025-06,Bengaluru City,Economic Offences,2025-06,1,5,24305,6,47,43,40,31,43.333,41.0,40.5,493,0.0953,51
1-5-2025-07,Bengaluru City,Economic Offences,2025-07,1,5,24306,7,51,47,43,35,47.0,43.167,42.167,487,0.1047,40
1-5-2025-08,Bengaluru City,Economic Offences,2025-08,1,5,24307,8,40,51,47,44,46.0,42.333,42.583,514,0.0778,47
1-5-2025-09,Bengaluru City,Economic Offences,2025-09,1,5,24308,9,47,40,51,47,46.0,44.667,42.833,484,0.0971,38
1-5-2025-10,Bengaluru City,Economic Offences,2025-10,1,5,24309,10,38,47,40,49,41.667,44.333,42.083,465,0.0817,42
1-5-2025-11,Bengaluru City,Economic Offences,2025-11,1,5,24310,11,42,38,47,34,42.333,44.167,41.5,660,0.0636,23
1-5-2025-12,Bengaluru City,Economic Offences,2025-12,1,5,24311,12,23,42,38,38,34.333,40.167,40.583,668,0.0344,43
1-5-2026-01,Bengaluru City,Economic Offences,2026-01,1,5,24312,1,43,23,42,45,36.0,38.833,41.0,529,0.0813,70
1-5-2026-02,Bengaluru City,Economic Offences,2026-02,1,5,24313,2,70,43,23,33,45.333,43.833,43.083,931,0.0752,65
1-5-2026-03,Bengaluru City,Economic Offences,2026-03,1,5,24314,3,65,70,43,40,59.333,46.833,45.75,849,0.0766,75
1-5-2026-04,Bengaluru City,Economic Offences,2026-04,1,5,24315,4,75,65,70,43,70.0,53.0,48.667,996,0.0753,66
1-5-2026-05,Bengaluru City,Economic Offences,2026-05,1,5,24316,5,66,75,65,47,68.667,57.0,50.583,947,0.0697,71
1-5-2026-06,Bengaluru City,Economic Offences,2026-06,1,5,24317,6,71,66,75,51,70.667,65.0,52.583,1026,0.0692,89
1-6-2024-02,Bengaluru City,NDPS,2024-02,1,6,24289,2,17,14,14,13,15.0,15.0,15.333,500,0.034,13
1-6-2024-03,Bengaluru City,NDPS,2024-03,1,6,24290,3,13,17,14,20,14.667,14.667,15.333,481,0.027,13
1-6-2024-04,Bengaluru City,NDPS,2024-04,1,6,24291,4,13,13,17,14,14.333,14.333,14.75,481,0.027,22
1-6-2024-05,Bengaluru City,NDPS,2024-05,1,6,24292,5,22,13,13,19,16.0,15.5,15.417,489,0.045,12
1-6-2024-06,Bengaluru City,NDPS,2024-06,1,6,24293,6,12,22,13,9,15.667,15.167,14.833,536,0.0224,17
1-6-2024-07,Bengaluru City,NDPS,2024-07,1,6,24294,7,17,12,22,19,17.0,15.667,15.5,485,0.0351,10
1-6-2024-08,Bengaluru City,NDPS,2024-08,1,6,24295,8,10,17,12,15,13.0,14.5,14.75,439,0.0228,21
1-6-2024-09,Bengaluru City,NDPS,2024-09,1,6,24296,9,21,10,17,15,16.0,15.833,15.25,517,0.0406,28
1-6-2024-10,Bengaluru City,NDPS,2024-10,1,6,24297,10,28,21,10,15,19.667,18.333,16.333,491,0.057,17
1-6-2024-11,Bengaluru City,NDPS,2024-11,1,6,24298,11,17,28,21,14,22.0,17.5,16.5,716,0.0237,18
1-6-2024-12,Bengaluru City,NDPS,2024-12,1,6,24299,12,18,17,28,14,21.0,18.5,16.833,685,0.0263,10
1-6-2025-01,Bengaluru City,NDPS,2025-01,1,6,24300,1,10,18,17,17,15.0,17.333,16.5,517,0.0193,18
1-6-2025-02,Bengaluru City,NDPS,2025-02,1,6,24301,2,18,10,18,13,15.333,18.667,16.583,501,0.0359,19
1-6-2025-03,Bengaluru City,NDPS,2025-03,1,6,24302,3,19,18,10,13,15.667,18.333,17.083,474,0.0401,16
1-6-2025-04,Bengaluru City,NDPS,2025-04,1,6,24303,4,16,19,18,22,17.667,16.333,17.333,473,0.0338,16
1-6-2025-05,Bengaluru City,NDPS,2025-05,1,6,24304,5,16,16,19,12,17.0,16.167,16.833,481,0.0333,21
1-6-2025-06,Bengaluru City,NDPS,2025-06,1,6,24305,6,21,16,16,17,17.667,16.667,17.583,493,0.0426,14
1-6-2025-07,Bengaluru City,NDPS,2025-07,1,6,24306,7,14,21,16,10,17.0,17.333,17.333,487,0.0287,14
1-6-2025-08,Bengaluru City,NDPS,2025-08,1,6,24307,8,14,14,21,21,16.333,16.667,17.667,514,0.0272,17
1-6-2025-09,Bengaluru City,NDPS,2025-09,1,6,24308,9,17,14,14,28,15.0,16.333,17.333,484,0.0351,8
1-6-2025-10,Bengaluru City,NDPS,2025-10,1,6,24309,10,8,17,14,17,13.0,15.0,15.667,465,0.0172,15
1-6-2025-11,Bengaluru City,NDPS,2025-11,1,6,24310,11,15,8,17,18,13.333,14.833,15.5,660,0.0227,14
1-6-2025-12,Bengaluru City,NDPS,2025-12,1,6,24311,12,14,15,8,10,12.333,13.667,15.167,668,0.021,19
1-6-2026-01,Bengaluru City,NDPS,2026-01,1,6,24312,1,19,14,15,18,16.0,14.5,15.917,529,0.0359,19
1-6-2026-02,Bengaluru City,NDPS,2026-02,1,6,24313,2,19,19,14,19,17.333,15.333,16.0,931,0.0204,31
1-6-2026-03,Bengaluru City,NDPS,2026-03,1,6,24314,3,31,19,19,16,23.0,17.667,17.0,849,0.0365,31
1-6-2026-04,Bengaluru City,NDPS,2026-04,1,6,24315,4,31,31,19,16,27.0,21.5,18.25,996,0.0311,27
1-6-2026-05,Bengaluru City,NDPS,2026-05,1,6,24316,5,27,31,31,21,29.667,23.5,19.167,947,0.0285,38
1-6-2026-06,Bengaluru City,NDPS,2026-06,1,6,24317,6,38,27,31,14,32.0,27.5,20.583,1026,0.037,22
1-7-2024-02,Bengaluru City,Missing / UDR,2024-02,1,7,24289,2,32,22,23,33,25.667,26.5,28.833,500,0.064,28
1-7-2024-03,Bengaluru City,Missing / UDR,2024-03,1,7,24290,3,28,32,22,28,27.333,25.5,28.417,481,0.0582,29
1-7-2024-04,Bengaluru City,Missing / UDR,2024-04,1,7,24291,4,29,28,32,28,29.667,26.833,28.5,481,0.0603,27
1-7-2024-05,Bengaluru City,Missing / UDR,2024-05,1,7,24292,5,27,29,28,32,28.0,26.833,28.417,489,0.0552,31
1-7-2024-06,Bengaluru City,Missing / UDR,2024-06,1,7,24293,6,31,27,29,35,29.0,28.167,28.333,536,0.0578,27
1-7-2024-07,Bengaluru City,Missing / UDR,2024-07,1,7,24294,7,27,31,27,31,28.333,29.0,27.667,485,0.0557,24
1-7-2024-08,Bengaluru City,Missing / UDR,2024-08,1,7,24295,8,24,27,31,34,27.333,27.667,27.083,439,0.0547,24
1-7-2024-09,Bengaluru City,Missing / UDR,2024-09,1,7,24296,9,24,24,27,21,25.0,27.0,26.25,517,0.0464,33
1-7-2024-10,Bengaluru City,Missing / UDR,2024-10,1,7,24297,10,33,24,24,27,27.0,27.667,27.25,491,0.0672,29
1-7-2024-11,Bengaluru City,Missing / UDR,2024-11,1,7,24298,11,29,33,24,23,28.667,28.0,27.417,716,0.0405,28
1-7-2024-12,Bengaluru City,Missing / UDR,2024-12,1,7,24299,12,28,29,33,22,30.0,27.5,27.833,685,0.0409,32
1-7-2025-01,Bengaluru City,Missing / UDR,2025-01,1,7,24300,1,32,28,29,32,29.667,28.333,28.667,517,0.0619,28
1-7-2025-02,Bengaluru City,Missing / UDR,2025-02,1,7,24301,2,28,32,28,28,29.333,29.0,28.333,501,0.0559,27
1-7-2025-03,Bengaluru City,Missing / UDR,2025-03,1,7,24302,3,27,28,32,29,29.0,29.5,28.25,474,0.057,18
1-7-2025-04,Bengaluru City,Missing / UDR,2025-04,1,7,24303,4,18,27,28,27,24.333,27.0,27.333,473,0.0381,24
1-7-2025-05,Bengaluru City,Missing / UDR,2025-05,1,7,24304,5,24,18,27,31,23.0,26.167,27.083,481,0.0499,27
1-7-2025-06,Bengaluru City,Missing / UDR,2025-06,1,7,24305,6,27,24,18,27,23.0,26.0,26.75,493,0.0548,27
1-7-2025-07,Bengaluru City,Missing / UDR,2025-07,1,7,24306,7,27,27,24,24,26.0,25.167,26.75,487,0.0554,22
1-7-2025-08,Bengaluru City,Missing / UDR,2025-08,1,7,24307,8,22,27,27,24,25.333,24.167,26.583,514,0.0428,36
1-7-2025-09,Bengaluru City,Missing / UDR,2025-09,1,7,24308,9,36,22,27,33,28.333,25.667,27.583,484,0.0744,34
1-7-2025-10,Bengaluru City,Missing / UDR,2025-10,1,7,24309,10,34,36,22,29,30.667,28.333,27.667,465,0.0731,24
1-7-2025-11,Bengaluru City,Missing / UDR,2025-11,1,7,24310,11,24,34,36,28,31.333,28.333,27.25,660,0.0364,27
1-7-2025-12,Bengaluru City,Missing / UDR,2025-12,1,7,24311,12,27,24,34,32,28.333,28.333,27.167,668,0.0404,37
1-7-2026-01,Bengaluru City,Missing / UDR,2026-01,1,7,24312,1,37,27,24,28,29.333,30.0,27.583,529,0.0699,56
1-7-2026-02,Bengaluru City,Missing / UDR,2026-02,1,7,24313,2,56,37,27,27,40.0,35.667,29.917,931,0.0602,45
1-7-2026-03,Bengaluru City,Missing / UDR,2026-03,1,7,24314,3,45,56,37,18,46.0,37.167,31.417,849,0.053,59
1-7-2026-04,Bengaluru City,Missing / UDR,2026-04,1,7,24315,4,59,45,56,24,53.333,41.333,34.833,996,0.0592,51
1-7-2026-05,Bengaluru City,Missing / UDR,2026-05,1,7,24316,5,51,59,45,27,51.667,45.833,37.083,947,0.0539,44
1-7-2026-06,Bengaluru City,Missing / UDR,2026-06,1,7,24317,6,44,51,59,27,51.333,48.667,38.5,1026,0.0429,54
1-8-2024-02,Bengaluru City,Traffic / PAR,2024-02,1,8,24289,2,28,30,27,25,28.333,26.167,24.0,500,0.056,19
