prior_cases,days_since_last,span_days,rate_per_yr,n_districts,n_heads,heinous,target_back_180
3,120,319,3.0,3,2,0,0
3,150,349,3.0,3,2,0,0
3,180,379,2.8912,3,2,0,0
3,210,409,2.6791,3,2,0,0
3,240,439,2.496,3,2,0,0
3,270,469,2.3364,3,2,0,0
3,300,499,2.1959,3,2,0,0
3,330,529,2.0714,3,2,0,0
3,360,559,1.9602,3,2,0,0
3,390,589,1.8604,3,2,0,0
3,420,619,1.7702,3,2,0,0
3,450,649,1.6884,3,2,0,0
3,480,679,1.6138,3,2,0,0
3,510,709,1.5455,3,2,0,0
1,215,215,1.0,1,1,0,1
1,245,245,1.0,1,1,0,1
1,275,275,1.0,1,1,0,1
2,18,305,2.0,2,2,0,0
2,48,335,2.0,2,2,0,0
2,78,365,2.0,2,2,0,0
2,108,395,1.8494,2,2,0,0
2,138,425,1.7188,2,2,0,0
2,168,455,1.6055,2,2,0,0
2,198,485,1.5062,2,2,0,0
2,228,515,1.4184,2,2,0,1
2,258,545,1.3404,2,2,0,1
2,288,575,1.2704,2,2,0,1
2,318,605,1.2074,2,2,0,1
2,348,635,1.1504,2,2,0,1
2,378,665,1.0985,2,2,0,1
3,3,695,1.5766,3,3,0,1
3,33,725,1.5114,3,3,0,1
3,63,755,1.4513,3,3,0,1
3,93,785,1.3959,3,3,0,1
3,123,815,1.3445,3,3,0,1
4,18,845,1.729,4,3,0,0
4,48,875,1.6697,4,3,0,0
4,78,905,1.6144,4,3,0,0
4,108,935,1.5626,4,3,0,0
2,127,290,2.0,2,2,0,1
2,157,320,2.0,2,2,0,1
2,187,350,2.0,2,2,0,1
2,217,380,1.9224,2,2,0,1
2,247,410,1.7817,2,2,0,1
3,10,440,2.4903,3,3,0,0
3,40,470,2.3314,3,3,0,0
3,70,500,2.1915,3,3,0,0
3,100,530,2.0675,3,3,0,0
3,130,560,1.9567,3,3,0,1
3,160,590,1.8572,3,3,0,1
3,190,620,1.7673,3,3,0,1
3,220,650,1.6858,3,3,0,1
3,250,680,1.6114,3,3,0,1
3,280,710,1.5433,3,3,0,1
4,22,740,1.9743,4,4,0,1
4,52,770,1.8974,4,4,0,1
4,82,800,1.8263,4,4,0,1
5,19,830,2.2003,4,4,0,0
5,49,860,2.1235,4,4,0,0
5,79,890,2.052,4,4,0,0
5,109,920,1.9851,4,4,0,0
5,139,950,1.9224,4,4,0,0
5,169,980,1.8635,4,4,0,0
5,199,1010,1.8082,4,4,0,0
1,2,2,1.0,1,1,0,0
1,32,32,1.0,1,1,0,0
1,62,62,1.0,1,1,0,0
1,92,92,1.0,1,1,0,0
1,122,122,1.0,1,1,0,0
1,152,152,1.0,1,1,0,0
1,182,182,1.0,1,1,0,0
1,212,212,1.0,1,1,0,0
1,242,242,1.0,1,1,0,0
1,272,272,1.0,1,1,0,0
1,302,302,1.0,1,1,0,1
1,332,332,1.0,1,1,0,1
1,362,362,1.0,1,1,0,1
1,392,392,0.9318,1,1,0,1
1,422,422,0.8655,1,1,0,1
1,452,452,0.8081,1,1,0,1
2,27,482,1.5156,2,2,0,0
2,57,512,1.4268,2,2,0,0
2,87,542,1.3478,2,2,0,0
1,193,193,1.0,1,1,0,0
1,223,223,1.0,1,1,0,0
1,253,253,1.0,1,1,0,0
1,283,283,1.0,1,1,0,0
1,313,313,1.0,1,1,0,0
1,343,343,1.0,1,1,0,0
1,373,373,0.9792,1,1,0,0
1,403,403,0.9063,1,1,0,0
1,433,433,0.8435,1,1,0,0
1,463,463,0.7889,1,1,0,0
1,493,493,0.7409,1,1,0,0
1,523,523,0.6984,1,1,0,0
1,553,553,0.6605,1,1,0,1
1,583,583,0.6265,1,1,0,1
1,613,613,0.5958,1,1,0,1
1,643,643,0.568,1,1,0,1
1,673,673,0.5427,1,1,0,1
1,703,703,0.5196,1,1,0,1
2,19,733,0.9966,2,1,0,1
2,49,763,0.9574,2,1,0,1
2,79,793,0.9212,2,1,0,1
2,109,823,0.8876,2,1,0,1
2,139,853,0.8564,2,1,0,1
2,169,883,0.8273,2,1,0,1
3,3,913,1.2002,3,2,0,0
1,24,24,1.0,1,1,0,1
1,54,54,1.0,1,1,0,1
1,84,84,1.0,1,1,0,1
1,114,114,1.0,1,1,0,1
1,144,144,1.0,1,1,0,1
1,174,174,1.0,1,1,0,1
2,5,204,2.0,2,2,0,1
3,2,234,3.0,3,2,0,0
3,32,264,3.0,3,2,0,0
3,62,294,3.0,3,2,0,0
3,92,324,3.0,3,2,0,0
3,122,354,3.0,3,2,0,0
3,152,384,2.8535,3,2,0,0
3,182,414,2.6467,3,2,0,0
3,212,444,2.4679,3,2,0,0
3,242,474,2.3117,3,2,0,0
3,272,504,2.1741,3,2,0,0
3,302,534,2.052,3,2,0,0
3,332,564,1.9428,3,2,0,0
3,362,594,1.8447,3,2,0,0
3,392,624,1.756,3,2,0,0
3,422,654,1.6755,3,2,0,1
2,257,296,2.0,1,1,0,0
2,287,326,2.0,1,1,0,0
2,317,356,2.0,1,1,0,0
2,347,386,1.8925,1,1,0,0
2,377,416,1.756,1,1,0,0
2,407,446,1.6379,1,1,0,0
2,437,476,1.5347,1,1,0,0
2,467,506,1.4437,1,1,0,1
2,497,536,1.3629,1,1,0,1
2,527,566,1.2906,1,1,0,1
2,557,596,1.2257,1,1,0,1
2,587,626,1.1669,1,1,0,1
2,617,656,1.1136,1,1,0,1
3,10,686,1.5973,2,1,0,0
3,40,716,1.5304,2,1,0,0
3,70,746,1.4688,2,1,0,0
3,100,776,1.412,2,1,0,1
3,130,806,1.3595,2,1,0,1
3,160,836,1.3107,2,1,0,1
3,190,866,1.2653,2,1,0,1
3,220,896,1.2229,2,1,0,1
3,250,926,1.1833,2,1,0,1
4,3,956,1.5282,2,2,0,0
4,33,986,1.4817,2,2,0,0
4,63,1016,1.438,2,2,0,1
1,129,129,1.0,1,1,0,1
1,159,159,1.0,1,1,0,1
2,19,189,2.0,2,1,0,0
2,49,219,2.0,2,1,0,0
2,79,249,2.0,2,1,0,0
2,109,279,2.0,2,1,0,0
2,139,309,2.0,2,1,0,0
2,169,339,2.0,2,1,0,0
2,199,369,1.9797,2,1,0,0
2,229,399,1.8308,2,1,0,0
2,259,429,1.7028,2,1,0,0
2,289,459,1.5915,2,1,0,1
2,319,489,1.4939,2,1,0,1
2,349,519,1.4075,2,1,0,1
2,379,549,1.3306,2,1,0,1
2,409,579,1.2617,2,1,0,1
2,439,609,1.1995,2,1,0,1
3,17,639,1.7148,3,2,0,0
3,47,669,1.6379,3,2,0,0
3,77,699,1.5676,3,2,0,0
3,107,729,1.5031,3,2,0,0
3,137,759,1.4437,3,2,0,1
3,167,789,1.3888,3,2,0,1
3,197,819,1.3379,3,2,0,1
3,227,849,1.2906,3,2,0,1
1,249,249,1.0,1,1,0,0
1,279,279,1.0,1,1,0,0
1,309,309,1.0,1,1,0,0
1,339,339,1.0,1,1,0,0
1,369,369,0.9898,1,1,0,0
1,399,399,0.9154,1,1,0,0
1,429,429,0.8514,1,1,0,0
1,459,459,0.7958,1,1,0,0
1,489,489,0.7469,1,1,0,0
1,519,519,0.7038,1,1,0,0
1,549,549,0.6653,1,1,0,0
1,579,579,0.6308,1,1,0,0
1,609,609,0.5998,1,1,0,1
1,639,639,0.5716,1,1,0,1
1,669,669,0.546,1,1,0,1
1,699,699,0.5225,1,1,0,1
1,729,729,0.501,1,1,0,1
1,759,759,0.4812,1,1,0,1
2,28,789,0.9259,1,2,0,0
2,58,819,0.8919,1,2,0,0
2,88,849,0.8604,1,2,0,1
2,118,879,0.8311,1,2,0,1
2,148,909,0.8036,1,2,0,1
2,178,939,0.778,1,2,0,1
2,208,969,0.7539,1,2,0,1
1,13,13,1.0,1,1,0,0
1,43,43,1.0,1,1,0,0
1,73,73,1.0,1,1,0,0
1,103,103,1.0,1,1,0,1
1,133,133,1.0,1,1,0,1
1,163,163,1.0,1,1,0,1
1,193,193,1.0,1,1,0,1
1,223,223,1.0,1,1,0,1
1,253,253,1.0,1,1,0,1
2,20,283,2.0,2,2,0,0
2,50,313,2.0,2,2,0,0
2,80,343,2.0,2,2,0,0
2,110,373,1.9584,2,2,0,0
2,140,403,1.8127,2,2,0,0
2,170,433,1.6871,2,2,0,0
2,200,463,1.5778,2,2,0,0
1,0,0,1.0,1,1,1,1
1,30,30,1.0,1,1,1,1
1,60,60,1.0,1,1,1,1
2,6,90,2.0,1,1,1,0
2,36,120,2.0,1,1,1,0
2,66,150,2.0,1,1,1,0
2,96,180,2.0,1,1,1,0
2,126,210,2.0,1,1,1,0
2,156,240,2.0,1,1,1,0
2,186,270,2.0,1,1,1,0
2,216,300,2.0,1,1,1,0
2,246,330,2.0,1,1,1,1
2,276,360,2.0,1,1,1,1
2,306,390,1.8731,1,1,1,1
2,115,311,2.0,2,2,0,0
2,145,341,2.0,2,2,0,0
2,175,371,1.969,2,2,0,0
2,205,401,1.8217,2,2,0,0
2,235,431,1.6949,2,2,0,0
2,265,461,1.5846,2,2,0,0
2,295,491,1.4878,2,2,0,0
2,325,521,1.4021,2,2,0,0
2,355,551,1.3258,2,2,0,0
2,385,581,1.2573,2,2,0,0
2,415,611,1.1956,2,2,0,0
2,445,641,1.1396,2,2,0,0
2,475,671,1.0887,2,2,0,0
2,505,701,1.0421,2,2,0,0
2,535,731,0.9993,2,2,0,1
2,565,761,0.9599,2,2,0,1
2,595,791,0.9235,2,2,0,1
2,625,821,0.8898,2,2,0,1
2,655,851,0.8584,2,2,0,1
2,685,881,0.8292,2,2,0,1
3,12,911,1.2028,3,2,0,1
3,42,941,1.1645,3,2,0,1
5,10,971,1.8808,5,3,0,1
6,25,1001,2.1893,6,4,0,1
6,55,1031,2.1256,6,4,0,1
1,51,51,1.0,1,1,0,0
1,81,81,1.0,1,1,0,0
1,111,111,1.0,1,1,0,0
1,141,141,1.0,1,1,0,0
1,171,171,1.0,1,1,0,0
1,201,201,1.0,1,1,0,0
1,231,231,1.0,1,1,0,0
1,261,261,1.0,1,1,0,0
1,291,291,1.0,1,1,0,0
1,321,321,1.0,1,1,0,0
1,351,351,1.0,1,1,0,0
1,381,381,0.9587,1,1,0,0
1,411,411,0.8887,1,1,0,0
1,441,441,0.8282,1,1,0,0
1,471,471,0.7755,1,1,0,0
1,501,501,0.729,1,1,0,1
1,531,531,0.6879,1,1,0,1
1,561,561,0.6511,1,1,0,1
1,591,591,0.618,1,1,0,1
1,621,621,0.5882,1,1,0,1
1,651,651,0.5611,1,1,0,1
2,22,681,1.0727,2,2,0,1
2,52,711,1.0274,2,2,0,1
2,82,741,0.9858,2,2,0,1
2,112,771,0.9475,2,2,0,1
1,3,3,1.0,1,1,0,1
1,33,33,1.0,1,1,0,1
1,63,63,1.0,1,1,0,1
1,93,93,1.0,1,1,0,1
1,123,123,1.0,1,1,0,1
2,18,153,2.0,2,1,1,0
2,48,183,2.0,2,1,1,0
2,78,213,2.0,2,1,1,0
2,108,243,2.0,2,1,1,0
2,138,273,2.0,2,1,1,0
2,168,303,2.0,2,1,1,0
2,198,333,2.0,2,1,1,0
2,228,363,2.0,2,1,1,0
2,258,393,1.8588,2,1,1,0
2,288,423,1.727,2,1,1,0
2,318,453,1.6126,2,1,1,0
2,348,483,1.5124,2,1,1,0
2,378,513,1.424,2,1,1,0
2,408,543,1.3453,2,1,1,0
2,438,573,1.2749,2,1,1,0
2,468,603,1.2114,2,1,1,0
2,498,633,1.154,2,1,1,0
2,528,663,1.1018,2,1,1,0
2,558,693,1.0541,2,1,1,0
1,15,15,1.0,1,1,0,1
1,45,45,1.0,1,1,0,1
2,22,75,2.0,2,1,1,0
2,52,105,2.0,2,1,1,0
2,82,135,2.0,2,1,1,0
2,112,165,2.0,2,1,1,0
2,142,195,2.0,2,1,1,1
2,172,225,2.0,2,1,1,1
2,202,255,2.0,2,1,1,1
2,232,285,2.0,2,1,1,1
2,262,315,2.0,2,1,1,1
2,292,345,2.0,2,1,1,1
3,5,375,2.922,2,2,1,0
3,35,405,2.7056,2,2,1,0
3,65,435,2.519,2,2,1,0
3,95,465,2.3565,2,2,1,0
3,125,495,2.2136,2,2,1,0
3,155,525,2.0871,2,2,1,0
3,185,555,1.9743,2,2,1,0
3,215,585,1.8731,2,2,1,0
3,245,615,1.7817,2,2,1,0
3,275,645,1.6988,2,2,1,0
3,305,675,1.6233,2,2,1,0
3,335,705,1.5543,2,2,1,0
2,160,317,2.0,2,2,0,0
2,190,347,2.0,2,2,0,0
2,220,377,1.9377,2,2,0,0
2,250,407,1.7948,2,2,0,0
2,280,437,1.6716,2,2,0,0
2,310,467,1.5642,2,2,0,0
2,340,497,1.4698,2,2,0,0
2,370,527,1.3861,2,2,0,0
2,400,557,1.3115,2,2,0,0
2,430,587,1.2445,2,2,0,0
2,460,617,1.184,2,2,0,1
2,490,647,1.1291,2,2,0,1
2,520,677,1.079,2,2,0,1
2,550,707,1.0332,2,2,0,1
2,580,737,0.9912,2,2,0,1
2,610,767,0.9524,2,2,0,1
3,4,797,1.3748,3,3,0,0
3,34,827,1.325,3,3,0,0
3,64,857,1.2786,3,3,0,0
3,94,887,1.2353,3,3,0,0
3,124,917,1.1949,3,3,0,0
3,154,947,1.1571,3,3,0,0
3,184,977,1.1215,3,3,0,0
3,214,1007,1.0881,3,3,0,0
3,244,1037,1.0567,3,3,0,0
1,17,17,1.0,1,1,1,1
1,47,47,1.0,1,1,1,1
1,77,77,1.0,1,1,1,1
1,107,107,1.0,1,1,1,1
2,18,137,2.0,2,2,1,0
2,48,167,2.0,2,2,1,1
2,78,197,2.0,2,2,1,1
2,108,227,2.0,2,2,1,1
2,138,257,2.0,2,2,1,1
2,168,287,2.0,2,2,1,1
2,198,317,2.0,2,2,1,1
3,6,347,3.0,2,3,1,1
3,36,377,2.9065,2,3,1,1
3,66,407,2.6923,2,3,1,1
4,3,437,3.3432,2,4,1,1
4,33,467,3.1285,2,4,1,1
4,63,497,2.9396,2,4,1,1
4,93,527,2.7723,2,4,1,1
1,283,283,1.0,1,1,1,0
1,313,313,1.0,1,1,1,0
1,343,343,1.0,1,1,1,0
1,373,373,0.9792,1,1,1,0
1,403,403,0.9063,1,1,1,0
1,433,433,0.8435,1,1,1,0
1,463,463,0.7889,1,1,1,0
1,493,493,0.7409,1,1,1,0
1,523,523,0.6984,1,1,1,0
1,553,553,0.6605,1,1,1,0
1,583,583,0.6265,1,1,1,0
1,613,613,0.5958,1,1,1,0
1,643,643,0.568,1,1,1,0
1,673,673,0.5427,1,1,1,0
1,703,703,0.5196,1,1,1,0
1,733,733,0.4983,1,1,1,0
1,763,763,0.4787,1,1,1,0
1,793,793,0.4606,1,1,1,0
1,823,823,0.4438,1,1,1,0
1,853,853,0.4282,1,1,1,1
1,883,883,0.4136,1,1,1,1
1,913,913,0.4001,1,1,1,1
1,943,943,0.3873,1,1,1,1
1,973,973,0.3754,1,1,1,1
1,1003,1003,0.3642,1,1,1,1
1,19,19,1.0,1,1,1,0
1,49,49,1.0,1,1,1,0
1,79,79,1.0,1,1,1,1
1,109,109,1.0,1,1,1,1
1,139,139,1.0,1,1,1,1
1,169,169,1.0,1,1,1,1
1,199,199,1.0,1,1,1,1
1,21,21,1.0,1,1,0,0
1,51,51,1.0,1,1,0,0
1,81,81,1.0,1,1,0,0
1,111,111,1.0,1,1,0,0
1,141,141,1.0,1,1,0,0
1,171,171,1.0,1,1,0,0
1,201,201,1.0,1,1,0,0
1,231,231,1.0,1,1,0,0
1,261,261,1.0,1,1,0,0
1,291,291,1.0,1,1,0,0
1,321,321,1.0,1,1,0,1
1,351,351,1.0,1,1,0,1
1,381,381,0.9587,1,1,0,1
1,411,411,0.8887,1,1,0,1
1,441,441,0.8282,1,1,0,1
3,182,294,3.0,3,1,0,0
3,212,324,3.0,3,1,0,0
3,242,354,3.0,3,1,0,0
3,272,384,2.8535,3,1,0,0
3,302,414,2.6467,3,1,0,0
3,332,444,2.4679,3,1,0,0
3,362,474,2.3117,3,1,0,0
3,392,504,2.1741,3,1,0,0
3,422,534,2.052,3,1,0,0
3,452,564,1.9428,3,1,0,0
3,482,594,1.8447,3,1,0,0
3,512,624,1.756,3,1,0,0
3,542,654,1.6755,3,1,0,0
3,572,684,1.602,3,1,0,0
3,602,714,1.5347,3,1,0,0
3,632,744,1.4728,3,1,0,0
3,662,774,1.4157,3,1,0,0
3,692,804,1.3629,3,1,0,0
3,722,834,1.3138,3,1,0,0
3,752,864,1.2682,3,1,0,0
3,782,894,1.2257,3,1,0,0
3,812,924,1.1859,3,1,0,0
3,842,954,1.1486,3,1,0,0
3,872,984,1.1136,3,1,0,0
3,902,1014,1.0806,3,1,0,0
1,7,7,1.0,1,1,0,1
1,37,37,1.0,1,1,0,1
1,67,67,1.0,1,1,0,1
1,97,97,1.0,1,1,0,1
1,127,127,1.0,1,1,0,1
1,157,157,1.0,1,1,0,1
2,24,187,2.0,2,2,0,0
2,54,217,2.0,2,2,0,0
2,84,247,2.0,2,2,0,0
2,114,277,2.0,2,2,0,0
2,144,307,2.0,2,2,0,0
2,174,337,2.0,2,2,0,0
2,204,367,1.9905,2,2,0,0
2,234,397,1.8401,2,2,0,0
2,264,427,1.7108,2,2,0,0
2,294,457,1.5985,2,2,0,0
2,324,487,1.5,2,2,0,0
2,354,517,1.413,2,2,0,0
2,384,547,1.3355,2,2,0,0
2,414,577,1.266,2,2,0,0
2,444,607,1.2035,2,2,0,0
2,474,637,1.1468,2,2,0,0
1,25,25,1.0,1,1,0,1
2,8,55,2.0,2,2,0,0
2,38,85,2.0,2,2,0,0
2,68,115,2.0,2,2,0,0
2,98,145,2.0,2,2,0,0
2,128,175,2.0,2,2,0,0
2,158,205,2.0,2,2,0,0
2,188,235,2.0,2,2,0,0
2,218,265,2.0,2,2,0,0
2,248,295,2.0,2,2,0,0
2,278,325,2.0,2,2,0,0
2,308,355,2.0,2,2,0,0
2,338,385,1.8974,2,2,0,0
2,368,415,1.7602,2,2,0,1
2,398,445,1.6416,2,2,0,1
2,428,475,1.5379,2,2,0,1
2,458,505,1.4465,2,2,0,1
2,488,535,1.3654,2,2,0,1
2,518,565,1.2929,2,2,0,1
3,29,595,1.8416,3,3,0,0
1,113,113,1.0,1,1,0,1
1,143,143,1.0,1,1,0,1
2,24,173,2.0,2,2,0,1
2,54,203,2.0,2,2,0,1
3,26,233,3.0,2,2,0,0
3,56,263,3.0,2,2,0,1
3,86,293,3.0,2,2,0,1
3,116,323,3.0,2,2,0,1
3,146,353,3.0,2,2,0,1
3,176,383,2.861,2,2,0,1
3,206,413,2.6531,2,2,0,1
4,1,443,3.298,2,2,0,0
4,31,473,3.0888,2,2,0,0
4,61,503,2.9046,2,2,0,0
4,91,533,2.7411,2,2,0,0
4,121,563,2.595,2,2,0,0
4,151,593,2.4637,2,2,0,0
4,181,623,2.3451,2,2,0,0
4,211,653,2.2374,2,2,0,0
4,241,683,2.1391,2,2,0,0
4,271,713,2.0491,2,2,0,0
4,301,743,1.9664,2,2,0,0
4,331,773,1.89,2,2,0,0
4,361,803,1.8194,2,2,0,0
4,391,833,1.7539,2,2,0,0
1,2,2,1.0,1,1,0,0
1,32,32,1.0,1,1,0,0
1,62,62,1.0,1,1,0,0
1,92,92,1.0,1,1,0,0
1,122,122,1.0,1,1,0,0
1,152,152,1.0,1,1,0,0
1,182,182,1.0,1,1,0,0
1,212,212,1.0,1,1,0,0
1,242,242,1.0,1,1,0,0
1,272,272,1.0,1,1,0,0
1,302,302,1.0,1,1,0,0
1,332,332,1.0,1,1,0,0
1,362,362,1.0,1,1,0,0
1,392,392,0.9318,1,1,0,0
1,422,422,0.8655,1,1,0,0
1,452,452,0.8081,1,1,0,0
1,482,482,0.7578,1,1,0,0
1,512,512,0.7134,1,1,0,0
1,542,542,0.6739,1,1,0,0
1,572,572,0.6385,1,1,0,1
1,602,602,0.6067,1,1,0,1
1,632,632,0.5779,1,1,0,1
1,662,662,0.5517,1,1,0,1
1,692,692,0.5278,1,1,0,1
2,75,282,2.0,2,2,0,1
3,3,312,3.0,3,2,0,0
3,33,342,3.0,3,2,0,0
3,63,372,2.9456,3,2,0,0
3,93,402,2.7257,3,2,0,0
3,123,432,2.5365,3,2,0,0
3,153,462,2.3718,3,2,0,0
3,183,492,2.2271,3,2,0,0
3,213,522,2.0991,3,2,0,0
3,243,552,1.9851,3,2,0,0
3,273,582,1.8827,3,2,0,0
3,303,612,1.7904,3,2,0,0
3,333,642,1.7068,3,2,0,0
3,363,672,1.6306,3,2,0,0
3,393,702,1.5609,3,2,0,1
3,423,732,1.4969,3,2,0,1
3,453,762,1.438,3,2,0,1
3,483,792,1.3835,3,2,0,1
3,513,822,1.333,3,2,0,1
3,543,852,1.2861,3,2,0,1
5,20,882,2.0706,4,3,0,0
5,50,912,2.0025,4,3,0,0
5,80,942,1.9387,4,3,0,1
5,110,972,1.8789,4,3,0,1
5,140,1002,1.8226,4,3,0,1
1,145,145,1.0,1,1,0,0
1,175,175,1.0,1,1,0,0
1,205,205,1.0,1,1,0,0
1,235,235,1.0,1,1,0,0
1,265,265,1.0,1,1,0,0
1,295,295,1.0,1,1,0,0
1,325,325,1.0,1,1,0,0
1,355,355,1.0,1,1,0,0
1,385,385,0.9487,1,1,0,0
1,415,415,0.8801,1,1,0,0
1,445,445,0.8208,1,1,0,0
1,475,475,0.7689,1,1,0,0
1,505,505,0.7233,1,1,0,0
1,535,535,0.6827,1,1,0,0
1,565,565,0.6465,1,1,0,0
1,595,595,0.6139,1,1,0,1
1,625,625,0.5844,1,1,0,1
1,655,655,0.5576,1,1,0,1
1,685,685,0.5332,1,1,0,1
1,715,715,0.5108,1,1,0,1
1,745,745,0.4903,1,1,0,1
2,2,775,0.9426,2,2,0,0
2,32,805,0.9075,2,2,0,0
2,62,835,0.8749,2,2,0,0
2,92,865,0.8445,2,2,0,0
2,215,284,2.0,2,2,0,0
2,245,314,2.0,2,2,0,0
2,275,344,2.0,2,2,0,0
2,305,374,1.9532,2,2,0,0
2,335,404,1.8082,2,2,0,0
2,365,434,1.6832,2,2,0,0
2,395,464,1.5744,2,2,0,0
2,425,494,1.4787,2,2,0,0
2,455,524,1.3941,2,2,0,0
2,485,554,1.3186,2,2,0,0
2,515,584,1.2509,2,2,0,0
2,545,614,1.1897,2,2,0,0
2,575,644,1.1343,2,2,0,0
2,605,674,1.0838,2,2,0,0
2,635,704,1.0376,2,2,0,0
2,665,734,0.9952,2,2,0,0
2,695,764,0.9562,2,2,0,0
2,725,794,0.92,2,2,0,1
2,755,824,0.8865,2,2,0,1
2,785,854,0.8554,2,2,0,1
2,815,884,0.8264,2,2,0,1
2,845,914,0.7992,2,2,0,1
2,875,944,0.7738,2,2,0,1
3,14,974,1.125,3,3,0,0
3,44,1004,1.0914,3,3,0,0
1,12,12,1.0,1,1,1,0
1,42,42,1.0,1,1,1,0
1,72,72,1.0,1,1,1,0
1,102,102,1.0,1,1,1,0
1,132,132,1.0,1,1,1,0
1,162,162,1.0,1,1,1,0
1,192,192,1.0,1,1,1,0
1,222,222,1.0,1,1,1,0
1,252,252,1.0,1,1,1,1
1,73,73,1.0,1,1,0,1
1,103,103,1.0,1,1,0,1
1,133,133,1.0,1,1,0,1
1,163,163,1.0,1,1,0,1
1,193,193,1.0,1,1,0,1
2,21,223,2.0,2,2,1,1
2,51,253,2.0,2,2,1,1
2,81,283,2.0,2,2,1,1
2,111,313,2.0,2,2,1,1
3,28,343,3.0,2,3,1,0
3,58,373,2.9377,2,3,1,0
3,88,403,2.719,2,3,1,0
3,118,433,2.5306,2,3,1,0
3,148,463,2.3666,2,3,1,0
3,178,493,2.2226,2,3,1,0
3,208,523,2.0951,2,3,1,0
3,238,553,1.9815,2,3,1,0
3,268,583,1.8795,2,3,1,1
3,298,613,1.7875,2,3,1,1
3,328,643,1.7041,2,3,1,1
3,358,673,1.6282,2,3,1,1
3,388,703,1.5587,2,3,1,1
3,418,733,1.4949,2,3,1,1
4,2,763,1.9148,3,3,1,0
4,32,793,1.8424,3,3,1,0
1,29,29,1.0,1,1,0,0
1,59,59,1.0,1,1,0,0
1,89,89,1.0,1,1,0,0
1,119,119,1.0,1,1,0,0
1,149,149,1.0,1,1,0,0
1,179,179,1.0,1,1,0,0
1,209,209,1.0,1,1,0,0
1,239,239,1.0,1,1,0,0
1,269,269,1.0,1,1,0,0
1,299,299,1.0,1,1,0,0
1,329,329,1.0,1,1,0,0
1,359,359,1.0,1,1,0,0
1,389,389,0.9389,1,1,0,0
1,419,419,0.8717,1,1,0,0
1,449,449,0.8135,1,1,0,0
1,479,479,0.7625,1,1,0,0
1,509,509,0.7176,1,1,0,0
1,539,539,0.6776,1,1,0,0
1,569,569,0.6419,1,1,0,1
1,599,599,0.6098,1,1,0,1
1,629,629,0.5807,1,1,0,1
1,659,659,0.5542,1,1,0,1
1,689,689,0.5301,1,1,0,1
1,719,719,0.508,1,1,0,1
1,272,272,1.0,1,1,0,1
1,302,302,1.0,1,1,0,1
1,332,332,1.0,1,1,0,1
1,362,362,1.0,1,1,0,1
2,20,392,1.8635,1,1,0,0
2,50,422,1.731,1,1,0,0
2,80,452,1.6162,1,1,0,0
2,110,482,1.5156,1,1,0,0
2,140,512,1.4268,1,1,0,0
2,170,542,1.3478,1,1,0,0
2,200,572,1.2771,1,1,0,0
2,230,602,1.2135,1,1,0,0
2,260,632,1.1559,1,1,0,1
2,290,662,1.1035,1,1,0,1
2,320,692,1.0556,1,1,0,1
2,350,722,1.0118,1,1,0,1
2,380,752,0.9714,1,1,0,1
2,410,782,0.9341,1,1,0,1
3,16,812,1.3494,2,1,0,0
3,46,842,1.3014,2,1,0,0
3,76,872,1.2566,2,1,0,0
3,106,902,1.2148,2,1,0,0
