CSID,CaseMasterID,csdate,cstype,PolicePersonID
267,453,2024-05-28 00:00:00,A,64
268,454,2024-07-21 00:00:00,A,1001
269,455,2026-05-04 00:00:00,A,884
270,456,2025-03-07 00:00:00,A,797
271,457,2026-07-13 00:00:00,C,1291
272,458,2026-07-11 00:00:00,A,612
273,461,2026-05-27 00:00:00,C,1224
274,463,2026-02-07 00:00:00,A,1287
275,464,2026-05-08 00:00:00,A,114
276,467,2024-01-13 00:00:00,A,140
277,468,2023-07-01 00:00:00,A,138
278,472,2024-04-13 00:00:00,A,509
279,474,2024-09-05 00:00:00,C,993
280,476,2024-07-25 00:00:00,B,338
281,479,2025-12-15 00:00:00,A,313
282,480,2024-08-17 00:00:00,A,269
283,481,2023-08-06 00:00:00,A,889
284,483,2025-03-08 00:00:00,A,496
285,484,2025-04-19 00:00:00,A,286
286,485,2025-04-24 00:00:00,A,1263
287,487,2025-08-03 00:00:00,A,678
288,492,2025-05-04 00:00:00,A,480
289,495,2023-10-30 00:00:00,A,30
290,496,2026-07-13 00:00:00,B,987
291,497,2026-07-10 00:00:00,A,1316
292,498,2024-03-01 00:00:00,A,201
293,499,2026-06-25 00:00:00,A,509
294,504,2025-02-06 00:00:00,A,276
295,506,2023-12-07 00:00:00,A,339
296,507,2024-02-03 00:00:00,A,1040
297,508,2026-07-13 00:00:00,A,1204
298,511,2025-12-05 00:00:00,A,425
299,512,2025-09-03 00:00:00,C,634
300,516,2026-07-13 00:00:00,C,750
301,517,2024-01-17 00:00:00,C,721
302,520,2025-07-21 00:00:00,B,706
303,521,2024-05-29 00:00:00,A,701
304,522,2025-07-28 00:00:00,A,82
305,523,2025-09-14 00:00:00,C,737
306,526,2026-04-05 00:00:00,A,725
307,530,2026-07-11 00:00:00,A,147
308,531,2024-08-04 00:00:00,A,1123
309,534,2026-07-13 00:00:00,A,1302
310,542,2026-07-13 00:00:00,A,648
311,543,2025-03-20 00:00:00,A,245
312,545,2024-09-13 00:00:00,B,30
313,547,2025-12-18 00:00:00,A,982
314,548,2026-07-13 00:00:00,C,682
315,551,2024-05-16 00:00:00,C,657
316,553,2026-07-13 00:00:00,A,160
317,554,2025-07-13 00:00:00,A,675
318,555,2026-03-25 00:00:00,A,796
319,561,2023-09-20 00:00:00,A,298
320,562,2026-03-16 00:00:00,A,614
321,563,2025-03-10 00:00:00,B,340
322,564,2024-06-25 00:00:00,A,173
323,565,2026-07-13 00:00:00,A,1096
324,566,2026-07-13 00:00:00,A,999
325,568,2025-09-27 00:00:00,C,796
326,570,2025-10-11 00:00:00,A,1284
327,575,2026-07-13 00:00:00,C,49
328,576,2023-10-03 00:00:00,A,350
329,577,2024-08-06 00:00:00,A,1169
330,582,2026-07-13 00:00:00,A,1188
331,584,2025-01-25 00:00:00,A,336
332,588,2023-12-10 00:00:00,A,249
333,589,2024-01-27 00:00:00,C,709
334,592,2026-03-05 00:00:00,C,290
335,593,2026-01-05 00:00:00,A,607
336,594,2025-03-20 00:00:00,C,586
337,596,2025-09-04 00:00:00,C,1102
338,597,2025-04-27 00:00:00,A,681
339,598,2024-08-20 00:00:00,C,315
340,601,2025-04-06 00:00:00,B,1085
341,604,2025-01-31 00:00:00,A,434
342,605,2024-08-19 00:00:00,A,883
343,607,2024-08-10 00:00:00,B,855
344,608,2026-02-03 00:00:00,A,167
345,612,2024-10-31 00:00:00,A,203
346,613,2023-12-01 00:00:00,A,827
347,615,2025-10-24 00:00:00,A,53
348,616,2025-12-29 00:00:00,B,304
349,618,2024-01-18 00:00:00,A,1121
350,619,2025-03-19 00:00:00,A,1140
351,623,2024-08-13 00:00:00,A,736
352,625,2024-04-29 00:00:00,A,1330
353,629,2024-09-26 00:00:00,A,825
354,631,2026-04-20 00:00:00,A,613
355,635,2023-11-28 00:00:00,C,544
356,636,2024-11-05 00:00:00,A,454
357,638,2026-06-08 00:00:00,A,723
358,639,2024-05-12 00:00:00,A,1265
359,640,2024-02-03 00:00:00,A,859
360,642,2024-11-17 00:00:00,B,621
361,643,2024-12-18 00:00:00,C,867
362,645,2023-09-18 00:00:00,A,1205
363,646,2026-07-13 00:00:00,C,622
364,647,2026-05-25 00:00:00,A,177
365,648,2025-12-12 00:00:00,A,34
366,649,2026-07-13 00:00:00,A,171
367,650,2025-08-09 00:00:00,A,985
368,651,2025-02-10 00:00:00,A,820
369,652,2025-10-06 00:00:00,A,164
370,655,2025-12-22 00:00:00,A,725
371,657,2024-05-12 00:00:00,A,1152
372,660,2025-03-18 00:00:00,C,901
373,663,2025-03-23 00:00:00,A,711
374,664,2026-07-13 00:00:00,A,156
375,665,2024-09-21 00:00:00,A,1059
376,670,2026-07-13 00:00:00,A,186
377,671,2026-07-13 00:00:00,A,158
378,675,2025-03-17 00:00:00,A,567
379,676,2025-07-18 00:00:00,A,738
380,677,2025-04-17 00:00:00,A,895
381,678,2026-07-13 00:00:00,B,1272
382,679,2025-01-21 00:00:00,A,898
383,680,2023-05-17 00:00:00,B,142
384,681,2026-06-09 00:00:00,B,166
385,682,2026-01-03 00:00:00,B,621
386,683,2025-04-13 00:00:00,C,676
387,684,2026-04-21 00:00:00,A,250
388,686,2026-07-13 00:00:00,A,709
389,687,2023-05-11 00:00:00,A,805
390,691,2026-07-13 00:00:00,C,1282
391,692,2025-10-21 00:00:00,A,1051
392,693,2026-05-03 00:00:00,A,976
393,694,2024-06-22 00:00:00,A,618
394,695,2024-11-05 00:00:00,A,873
395,697,2024-09-06 00:00:00,A,358
396,698,2025-09-03 00:00:00,C,907
397,699,2025-10-12 00:00:00,A,72
398,700,2024-09-29 00:00:00,A,121
399,703,2026-05-16 00:00:00,A,49
400,704,2026-07-13 00:00:00,C,77
401,707,2024-11-11 00:00:00,A,611
402,708,2026-05-30 00:00:00,B,1265
403,709,2025-04-03 00:00:00,C,978
404,710,2026-07-13 00:00:00,A,780
405,711,2026-07-13 00:00:00,A,257
406,713,2024-05-18 00:00:00,A,1324
407,714,2023-12-24 00:00:00,C,561
408,716,2025-02-04 00:00:00,A,938
409,717,2023-03-16 00:00:00,A,507
410,718,2025-10-20 00:00:00,A,656
411,720,2026-07-13 00:00:00,C,1323
412,721,2025-12-29 00:00:00,A,511
413,723,2023-11-18 00:00:00,B,145
414,729,2025-09-18 00:00:00,A,84
415,730,2024-11-08 00:00:00,A,932
416,731,2024-03-03 00:00:00,C,636
417,734,2026-05-04 00:00:00,A,1174
418,735,2023-03-01 00:00:00,A,1043
419,738,2025-12-07 00:00:00,C,877
420,741,2024-06-19 00:00:00,C,1168
421,744,2025-11-19 00:00:00,A,32
422,745,2024-02-24 00:00:00,A,1162
423,748,2024-10-22 00:00:00,A,430
424,749,2025-01-10 00:00:00,A,876
425,750,2026-06-09 00:00:00,A,723
426,751,2023-07-18 00:00:00,A,280
427,752,2025-02-13 00:00:00,A,734
428,754,2023-06-30 00:00:00,A,543
429,757,2024-11-21 00:00:00,A,96
430,759,2024-07-23 00:00:00,A,1061
431,760,2024-08-12 00:00:00,A,804
432,761,2024-04-23 00:00:00,C,318
433,762,2026-07-13 00:00:00,A,825
434,764,2026-03-02 00:00:00,C,1037
435,766,2025-12-14 00:00:00,A,367
436,769,2024-08-03 00:00:00,C,970
437,770,2023-09-13 00:00:00,A,565
438,772,2026-07-13 00:00:00,B,1090
439,777,2024-05-16 00:00:00,B,637
440,779,2025-12-02 00:00:00,C,33
441,780,2025-11-19 00:00:00,C,587
442,781,2024-02-18 00:00:00,A,697
443,782,2026-07-13 00:00:00,B,541
444,784,2025-09-13 00:00:00,A,1184
445,785,2026-07-13 00:00:00,C,578
446,787,2025-09-07 00:00:00,A,126
447,788,2024-04-08 00:00:00,A,1316
448,790,2026-05-24 00:00:00,A,151
449,796,2023-10-08 00:00:00,A,592
450,797,2026-03-13 00:00:00,B,1335
451,804,2026-07-13 00:00:00,B,153
452,806,2024-06-07 00:00:00,C,1288
453,808,2023-10-21 00:00:00,B,816
454,809,2026-07-13 00:00:00,A,671
455,811,2024-03-31 00:00:00,A,411
456,816,2023-09-18 00:00:00,A,573
457,818,2026-07-09 00:00:00,A,136
458,819,2025-03-25 00:00:00,A,305
459,820,2026-03-16 00:00:00,A,1153
460,822,2023-07-01 00:00:00,A,636
461,823,2026-06-19 00:00:00,A,939
462,830,2026-07-13 00:00:00,A,416
463,831,2024-04-26 00:00:00,C,1013
464,832,2023-05-26 00:00:00,C,891
465,833,2026-07-13 00:00:00,A,260
466,834,2025-07-30 00:00:00,C,787
467,835,2026-05-13 00:00:00,A,138
468,836,2026-07-13 00:00:00,A,621
469,837,2026-07-13 00:00:00,A,479
470,838,2023-03-05 00:00:00,A,1034
471,839,2025-03-08 00:00:00,A,701
472,841,2026-04-21 00:00:00,A,235
473,844,2026-05-24 00:00:00,C,19
474,846,2024-06-26 00:00:00,A,134
475,847,2023-09-17 00:00:00,A,632
476,850,2024-06-28 00:00:00,A,453
477,851,2025-02-04 00:00:00,A,830
478,853,2026-04-12 00:00:00,C,466
479,857,2026-04-13 00:00:00,A,1246
480,862,2024-04-05 00:00:00,A,230
481,863,2026-07-13 00:00:00,A,667
482,864,2026-07-13 00:00:00,B,1327
483,865,2025-05-24 00:00:00,A,516
484,866,2024-07-08 00:00:00,A,51
485,867,2025-03-25 00:00:00,A,1261
486,869,2024-01-28 00:00:00,A,933
487,872,2024-06-26 00:00:00,A,496
488,873,2024-07-08 00:00:00,A,257
489,874,2025-07-04 00:00:00,C,1326
490,876,2026-06-04 00:00:00,A,69
491,877,2026-02-28 00:00:00,C,1196
492,885,2026-03-19 00:00:00,A,280
493,887,2024-12-18 00:00:00,A,578
494,891,2024-01-15 00:00:00,A,739
495,896,2024-03-28 00:00:00,A,1218
496,899,2025-05-10 00:00:00,A,580
497,900,2026-07-13 00:00:00,C,1061
498,902,2023-12-13 00:00:00,A,235
499,903,2025-10-27 00:00:00,A,673
500,905,2025-05-08 00:00:00,C,771
501,906,2025-09-15 00:00:00,B,40
502,907,2024-04-03 00:00:00,C,39
503,910,2025-06-26 00:00:00,A,354
504,911,2025-02-12 00:00:00,A,199
505,912,2025-05-22 00:00:00,A,550
506,913,2025-11-13 00:00:00,A,814
507,914,2023-09-01 00:00:00,A,824
508,917,2026-07-13 00:00:00,A,70
509,919,2023-12-14 00:00:00,A,981
510,922,2024-02-17 00:00:00,A,846
511,924,2026-07-13 00:00:00,B,416
512,925,2023-09-27 00:00:00,A,642
513,927,2023-07-05 00:00:00,A,2
514,928,2025-11-13 00:00:00,B,932
515,929,2026-07-13 00:00:00,A,53
516,930,2024-01-22 00:00:00,A,571
517,934,2025-05-04 00:00:00,A,26
518,936,2023-11-21 00:00:00,A,703
519,937,2026-05-27 00:00:00,A,484
520,939,2025-07-28 00:00:00,A,818
521,940,2025-09-03 00:00:00,A,1192
522,941,2025-08-23 00:00:00,A,211
523,942,2025-09-25 00:00:00,A,655
524,944,2025-03-09 00:00:00,A,538
525,945,2023-09-11 00:00:00,A,945
526,952,2026-07-13 00:00:00,A,3
527,953,2023-10-19 00:00:00,A,1174
528,954,2024-08-03 00:00:00,A,1181
529,956,2025-03-31 00:00:00,A,736
530,957,2026-07-13 00:00:00,A,495
531,958,2025-11-26 00:00:00,A,168
532,959,2023-08-02 00:00:00,A,2
533,960,2026-05-04 00:00:00,A,604
534,961,2023-08-23 00:00:00,A,741
535,962,2026-07-09 00:00:00,C,600
536,963,2026-07-13 00:00:00,C,433
537,964,2025-04-10 00:00:00,A,80
538,965,2024-12-25 00:00:00,C,1040
539,968,2025-10-06 00:00:00,C,66
540,969,2023-12-17 00:00:00,A,591
541,971,2026-07-13 00:00:00,C,141
542,973,2023-06-25 00:00:00,A,106
543,975,2026-07-13 00:00:00,C,1073
544,976,2026-07-13 00:00:00,A,506
545,979,2024-01-10 00:00:00,A,395
546,986,2026-07-13 00:00:00,A,987
547,987,2026-02-21 00:00:00,C,93
548,988,2026-01-18 00:00:00,A,1000
549,990,2023-12-29 00:00:00,A,691
550,991,2025-10-12 00:00:00,C,247
551,995,2026-07-13 00:00:00,C,362
552,997,2024-12-17 00:00:00,A,422
553,999,2025-06-01 00:00:00,C,1016
554,1002,2023-10-15 00:00:00,C,1066
555,1003,2024-07-08 00:00:00,C,674
556,1004,2026-07-13 00:00:00,A,513
557,1007,2024-08-09 00:00:00,A,997
558,1008,2024-05-30 00:00:00,C,698
559,1011,2023-08-09 00:00:00,C,169
560,1014,2024-01-02 00:00:00,A,944
561,1017,2024-08-30 00:00:00,C,790
562,1018,2023-11-24 00:00:00,A,472
563,1022,2026-05-07 00:00:00,A,1124
564,1023,2025-02-11 00:00:00,B,166
565,1025,2025-07-18 00:00:00,A,296
566,1026,2026-04-24 00:00:00,A,1049
567,1028,2026-07-13 00:00:00,A,226
568,1029,2025-12-01 00:00:00,A,262
569,1031,2025-04-15 00:00:00,A,674
570,1032,2025-04-10 00:00:00,C,1278
571,1033,2025-06-27 00:00:00,A,1111
572,1034,2026-07-13 00:00:00,C,941
573,1035,2026-07-13 00:00:00,C,188
574,1038,2026-04-19 00:00:00,B,180
575,1039,2023-03-06 00:00:00,A,1007
576,1040,2026-07-13 00:00:00,A,831
577,1041,2024-04-07 00:00:00,A,26
578,1042,2026-02-14 00:00:00,A,204
579,1045,2025-10-23 00:00:00,C,1289
580,1046,2023-05-28 00:00:00,C,899
581,1047,2023-11-07 00:00:00,A,331
582,1049,2024-12-23 00:00:00,A,329
583,1052,2026-06-16 00:00:00,A,231
584,1053,2023-12-26 00:00:00,A,833
585,1054,2023-07-19 00:00:00,A,180
586,1055,2023-08-25 00:00:00,A,7
587,1059,2024-02-08 00:00:00,A,542
588,1061,2025-01-13 00:00:00,A,374
589,1062,2023-08-17 00:00:00,C,393
590,1063,2023-05-15 00:00:00,A,1293
591,1066,2026-07-13 00:00:00,C,25
592,1068,2026-07-13 00:00:00,A,1179
593,1069,2025-01-06 00:00:00,A,11
594,1070,2024-05-20 00:00:00,A,839
595,1074,2026-07-13 00:00:00,A,522
596,1075,2024-06-20 00:00:00,B,524
597,1076,2026-07-13 00:00:00,A,257
598,1077,2023-04-18 00:00:00,A,600
599,1078,2025-11-10 00:00:00,A,1090
600,1079,2025-04-19 00:00:00,A,388
601,1080,2023-12-15 00:00:00,A,726
602,1081,2025-01-22 00:00:00,A,897
603,1082,2023-12-13 00:00:00,A,1001
604,1083,2025-09-04 00:00:00,C,1214
605,1084,2026-04-18 00:00:00,A,654
606,1087,2023-03-19 00:00:00,A,1018
607,1088,2026-04-29 00:00:00,A,944
608,1091,2026-06-27 00:00:00,A,1319
609,1092,2024-03-30 00:00:00,A,258
610,1093,2024-06-11 00:00:00,A,1006
611,1097,2024-08-19 00:00:00,A,1114
612,1099,2025-07-07 00:00:00,A,92
613,1101,2026-07-13 00:00:00,A,820
614,1108,2026-07-13 00:00:00,A,67
615,1110,2024-01-03 00:00:00,A,1234
616,1111,2024-01-13 00:00:00,A,877
617,1113,2026-04-23 00:00:00,A,485
618,1114,2023-12-21 00:00:00,A,1151
619,1116,2024-12-12 00:00:00,A,1104
620,1117,2024-03-16 00:00:00,A,581
621,1119,2025-04-04 00:00:00,C,1151
622,1120,2026-07-13 00:00:00,A,69
623,1121,2024-10-26 00:00:00,A,313
624,1122,2026-04-25 00:00:00,A,1067
625,1123,2024-02-07 00:00:00,C,973
626,1125,2026-03-07 00:00:00,A,1091
627,1127,2026-01-22 00:00:00,A,1098
628,1129,2024-03-14 00:00:00,A,144
629,1130,2026-02-05 00:00:00,B,653
630,1131,2023-05-13 00:00:00,A,450
631,1133,2026-01-07 00:00:00,A,310
632,1137,2023-08-23 00:00:00,A,517
633,1139,2025-12-03 00:00:00,A,62
634,1140,2024-07-10 00:00:00,A,1236
635,1141,2024-02-07 00:00:00,A,476
636,1144,2025-09-25 00:00:00,A,1298
637,1147,2025-05-22 00:00:00,A,191
638,1149,2023-07-21 00:00:00,A,447
639,1150,2025-11-26 00:00:00,A,502
640,1152,2025-01-25 00:00:00,A,955
641,1155,2023-05-24 00:00:00,A,78
642,1156,2024-06-19 00:00:00,A,951
643,1157,2024-07-16 00:00:00,A,932
644,1158,2025-01-27 00:00:00,A,725
645,1159,2024-02-20 00:00:00,C,341
646,1161,2023-09-03 00:00:00,B,796
647,1162,2025-12-25 00:00:00,A,621
648,1164,2024-05-18 00:00:00,A,1055
649,1165,2024-05-03 00:00:00,A,250
650,1168,2026-02-19 00:00:00,A,1205
651,1171,2025-10-25 00:00:00,A,719
652,1173,2023-10-01 00:00:00,B,255
