CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
143,MVA,279,1,1
144,IPC,465,1,1
145,IPC,354,1,1
145,ITA,67,2,2
146,IPC,354,1,1
147,IPC,379,1,1
147,IPC,392,2,2
148,IPC,323,1,1
148,IPC,325,2,2
148,BNS,115,3,3
149,IPC,379,1,1
149,BNS,303,2,2
150,IPC,323,1,1
150,IPC,325,2,2
150,BNS,115,3,3
151,IPC,379,1,1
151,BNS,303,2,2
152,IPC,420,1,1
152,ITA,66D,2,2
153,IPC,457,1,1
154,IPC,392,1,1
154,BNS,309,2,2
155,IPC,379,1,1
156,IPC,379,1,1
156,BNS,303,2,2
157,ITA,66C,1,1
158,IPC,379,1,1
159,IPC,379,1,1
159,BNS,303,2,2
160,IPC,395,1,1
160,BNS,310,2,2
161,ITA,66C,1,1
162,IPC,379,1,1
162,BNS,303,2,2
163,IPC,420,1,1
163,ITA,66D,2,2
164,ITA,66C,1,1
165,IPC,323,1,1
165,IPC,325,2,2
165,BNS,115,3,3
166,IPC,379,1,1
166,BNS,303,2,2
167,IPC,363,1,1
168,IPC,498A,1,1
169,IPC,392,1,1
170,IPC,323,1,1
171,IPC,406,1,1
172,IPC,379,1,1
172,BNS,303,2,2
173,IPC,379,1,1
173,BNS,303,2,2
174,IPC,420,1,1
174,ITA,66D,2,2
175,IPC,379,1,1
175,BNS,303,2,2
176,IPC,420,1,1
176,BNS,318,2,2
177,MVA,279,1,1
178,IPC,406,1,1
179,IPC,379,1,1
180,IPC,498A,1,1
181,IPC,379,1,1
182,IPC,363,1,1
183,IPC,323,1,1
184,IPC,420,1,1
185,IPC,354,1,1
186,IPC,420,1,1
186,ITA,66D,2,2
186,BNS,318,3,3
187,IPC,323,1,1
188,NDPS,20,1,1
189,IPC,379,1,1
190,IPC,420,1,1
191,IPC,379,1,1
191,BNS,303,2,2
192,IPC,379,1,1
192,BNS,303,2,2
193,NDPS,20,1,1
194,IPC,379,1,1
194,BNS,303,2,2
195,IPC,379,1,1
196,MVA,279,1,1
197,NDPS,20,1,1
198,IPC,354,1,1
198,ITA,67,2,2
199,IPC,420,1,1
200,IPC,498A,1,1
201,IPC,379,1,1
201,IPC,392,2,2
202,IPC,379,1,1
202,IPC,392,2,2
203,IPC,420,1,1
203,BNS,318,2,2
204,IPC,379,1,1
205,IPC,323,1,1
206,IPC,379,1,1
206,BNS,303,2,2
207,IPC,379,1,1
207,BNS,303,2,2
208,IPC,323,1,1
208,IPC,325,2,2
208,BNS,115,3,3
209,IPC,323,1,1
209,IPC,325,2,2
209,BNS,115,3,3
210,IPC,457,1,1
211,IPC,420,1,1
212,IPC,379,1,1
212,BNS,303,2,2
213,IPC,379,1,1
214,IPC,392,1,1
215,IPC,457,1,1
215,IPC,380,2,2
216,IPC,379,1,1
217,MVA,279,1,1
218,IPC,363,1,1
219,IPC,420,1,1
220,NDPS,20,1,1
221,MVA,279,1,1
222,IPC,420,1,1
222,ITA,66D,2,2
223,IPC,420,1,1
223,ITA,66D,2,2
224,IPC,379,1,1
225,MVA,279,1,1
226,IPC,354,1,1
227,IPC,354,1,1
228,IPC,379,1,1
228,BNS,303,2,2
229,IPC,379,1,1
229,BNS,303,2,2
230,IPC,420,1,1
230,ITA,66D,2,2
231,IPC,457,1,1
232,IPC,379,1,1
232,IPC,392,2,2
233,MVA,279,1,1
234,IPC,392,1,1
235,IPC,457,1,1
235,IPC,380,2,2
236,IPC,354,1,1
237,IPC,363,1,1
238,IPC,379,1,1
238,BNS,303,2,2
239,IPC,307,1,1
240,IPC,323,1,1
240,IPC,325,2,2
240,BNS,115,3,3
241,IPC,420,1,1
242,IPC,420,1,1
242,ITA,66D,2,2
243,IPC,465,1,1
244,KPA,110,1,1
245,IPC,465,1,1
246,IPC,354,1,1
247,IPC,457,1,1
247,IPC,380,2,2
248,IPC,379,1,1
249,ITA,67,1,1
250,IPC,420,1,1
250,BNS,318,2,2
251,MVA,279,1,1
252,IPC,379,1,1
252,IPC,392,2,2
253,MVA,185,1,1
254,IPC,323,1,1
254,BNS,115,2,2
255,IPC,323,1,1
256,IPC,420,1,1
257,IPC,323,1,1
257,IPC,325,2,2
257,BNS,115,3,3
258,IPC,457,1,1
259,IPC,379,1,1
260,IPC,457,1,1
260,IPC,380,2,2
261,IPC,420,1,1
262,IPC,420,1,1
263,IPC,379,1,1
263,BNS,303,2,2
264,IPC,457,1,1
264,IPC,380,2,2
265,IPC,323,1,1
266,IPC,379,1,1
266,BNS,303,2,2
267,IPC,379,1,1
267,BNS,303,2,2
268,IPC,323,1,1
268,BNS,115,2,2
269,IPC,392,1,1
270,IPC,420,1,1
271,IPC,392,1,1
272,IPC,323,1,1
272,BNS,115,2,2
273,IPC,420,1,1
273,ITA,66D,2,2
274,IPC,379,1,1
275,IPC,354,1,1
276,KPA,110,1,1
277,IPC,363,1,1
278,IPC,420,1,1
279,IPC,379,1,1
280,IPC,307,1,1
280,BNS,109,2,2
281,IPC,323,1,1
282,ITA,66C,1,1
282,ITA,66D,2,2
283,MVA,279,1,1
284,IPC,307,1,1
284,BNS,109,2,2
285,IPC,457,1,1
286,IPC,379,1,1
287,IPC,379,1,1
287,BNS,303,2,2
288,IPC,420,1,1
289,KPA,110,1,1
290,IPC,379,1,1
291,IPC,420,1,1
291,ITA,66D,2,2
292,IPC,354,1,1
293,IPC,420,1,1
293,BNS,318,2,2
294,IPC,379,1,1
294,BNS,303,2,2
295,IPC,354,1,1
296,IPC,363,1,1
297,IPC,457,1,1
297,IPC,380,2,2
298,IPC,379,1,1
298,BNS,303,2,2
299,ITA,67,1,1
300,IPC,420,1,1
300,ITA,66D,2,2
300,BNS,318,3,3
301,IPC,323,1,1
302,IPC,363,1,1
303,IPC,420,1,1
303,ITA,66D,2,2
304,MVA,279,1,1
305,IPC,307,1,1
306,IPC,379,1,1
307,IPC,354,1,1
308,IPC,379,1,1
308,IPC,392,2,2
309,NDPS,20,1,1
310,ITA,67,1,1
310,ITA,66D,2,2
311,ITA,67,1,1
312,IPC,420,1,1
312,BNS,318,2,2
313,IPC,323,1,1
314,IPC,457,1,1
314,IPC,380,2,2
315,KPA,110,1,1
316,IPC,363,1,1
317,IPC,498A,1,1
318,IPC,379,1,1
319,ITA,66C,1,1
320,IPC,379,1,1
320,BNS,303,2,2
321,IPC,363,1,1
322,IPC,363,1,1
323,IPC,379,1,1
323,BNS,303,2,2
324,IPC,379,1,1
325,NDPS,20,1,1
326,IPC,420,1,1
326,ITA,66D,2,2
327,IPC,354,1,1
328,IPC,354,1,1
329,MVA,185,1,1
330,IPC,457,1,1
330,IPC,380,2,2
331,IPC,406,1,1
332,ITA,67,1,1
332,ITA,66D,2,2
333,IPC,420,1,1
333,ITA,66D,2,2
333,BNS,318,3,3
334,IPC,379,1,1
334,BNS,303,2,2
335,MVA,185,1,1
336,MVA,185,1,1
337,KPA,110,1,1
338,IPC,379,1,1
339,IPC,379,1,1
339,BNS,303,2,2
340,IPC,379,1,1
340,BNS,303,2,2
341,IPC,323,1,1
341,BNS,115,2,2
342,IPC,420,1,1
342,ITA,66D,2,2
343,IPC,379,1,1
344,IPC,465,1,1
345,IPC,379,1,1
345,BNS,303,2,2
346,IPC,395,1,1
347,IPC,323,1,1
348,IPC,420,1,1
348,BNS,318,2,2
349,IPC,354,1,1
349,ITA,67,2,2
350,IPC,379,1,1
350,BNS,303,2,2
351,IPC,420,1,1
351,BNS,318,2,2
352,IPC,420,1,1
352,ITA,66D,2,2
352,BNS,318,3,3
353,IPC,379,1,1
354,IPC,379,1,1
355,IPC,420,1,1
356,IPC,420,1,1
357,IPC,457,1,1
357,IPC,380,2,2
358,ITA,67,1,1
359,IPC,379,1,1
360,IPC,420,1,1
360,BNS,318,2,2
361,MVA,279,1,1
362,IPC,420,1,1
363,IPC,379,1,1
364,ITA,66C,1,1
365,IPC,323,1,1
366,IPC,363,1,1
367,IPC,323,1,1
367,IPC,325,2,2
367,BNS,115,3,3
368,IPC,323,1,1
369,IPC,420,1,1
369,ITA,66D,2,2
369,BNS,318,3,3
370,IPC,354,1,1
370,ITA,67,2,2
371,IPC,420,1,1
371,BNS,318,2,2
372,IPC,363,1,1
373,IPC,307,1,1
373,BNS,109,2,2
374,IPC,323,1,1
374,IPC,325,2,2
375,KPA,110,1,1
376,IPC,379,1,1
377,ITA,66C,1,1
377,ITA,66D,2,2
378,IPC,323,1,1
378,IPC,325,2,2
379,IPC,392,1,1
379,BNS,309,2,2
380,IPC,379,1,1
380,BNS,303,2,2
381,IPC,457,1,1
382,IPC,363,1,1
383,IPC,457,1,1
384,IPC,395,1,1
384,BNS,310,2,2
385,IPC,323,1,1
386,NDPS,20,1,1
387,IPC,420,1,1
388,IPC,307,1,1
388,BNS,109,2,2
389,IPC,323,1,1
389,IPC,325,2,2
390,IPC,379,1,1
391,IPC,379,1,1
391,BNS,303,2,2
392,IPC,420,1,1
392,ITA,66D,2,2
393,IPC,379,1,1
393,BNS,303,2,2
394,IPC,323,1,1
394,IPC,325,2,2
394,BNS,115,3,3
395,IPC,420,1,1
395,ITA,66D,2,2
395,BNS,318,3,3
396,IPC,457,1,1
396,IPC,380,2,2
397,IPC,379,1,1
397,IPC,392,2,2
398,IPC,379,1,1
398,IPC,392,2,2
399,IPC,420,1,1
399,ITA,66D,2,2
400,IPC,379,1,1
400,IPC,392,2,2
401,IPC,354,1,1
402,IPC,379,1,1
403,IPC,379,1,1
403,IPC,392,2,2
404,IPC,457,1,1
404,IPC,380,2,2
405,IPC,379,1,1
406,IPC,379,1,1
406,BNS,303,2,2
407,IPC,498A,1,1
408,IPC,465,1,1
409,IPC,379,1,1
409,BNS,303,2,2
410,IPC,457,1,1
410,IPC,380,2,2
411,IPC,302,1,1
411,BNS,103,2,2
412,IPC,379,1,1
413,IPC,323,1,1
413,BNS,115,2,2
414,IPC,420,1,1
414,ITA,66D,2,2
415,IPC,379,1,1
416,MVA,185,1,1
417,IPC,363,1,1
418,IPC,379,1,1
419,IPC,457,1,1
420,IPC,379,1,1
420,BNS,303,2,2
421,IPC,392,1,1
421,BNS,309,2,2
422,IPC,379,1,1
422,BNS,303,2,2
423,KPA,110,1,1
424,IPC,379,1,1
424,BNS,303,2,2
425,IPC,379,1,1
425,BNS,303,2,2
426,IPC,420,1,1
426,ITA,66D,2,2
426,BNS,318,3,3
427,IPC,457,1,1
428,IPC,457,1,1
428,IPC,380,2,2
429,IPC,420,1,1
429,BNS,318,2,2
430,IPC,323,1,1
431,MVA,279,1,1
432,IPC,420,1,1
432,ITA,66D,2,2
433,IPC,420,1,1
433,ITA,66D,2,2
434,IPC,379,1,1
435,IPC,420,1,1
435,ITA,66D,2,2
436,IPC,457,1,1
437,ITA,66C,1,1
437,ITA,66D,2,2
438,IPC,354,1,1
439,IPC,354,1,1
440,IPC,465,1,1
441,IPC,420,1,1
442,KPA,110,1,1
443,MVA,279,1,1
444,IPC,379,1,1
445,IPC,420,1,1
446,IPC,420,1,1
446,ITA,66D,2,2
447,IPC,420,1,1
448,MVA,185,1,1
449,IPC,363,1,1
450,IPC,379,1,1
450,BNS,303,2,2
451,ITA,67,1,1
452,IPC,420,1,1
452,ITA,66D,2,2
452,BNS,318,3,3
453,IPC,457,1,1
453,IPC,380,2,2
454,IPC,354,1,1
454,ITA,67,2,2
455,IPC,457,1,1
456,IPC,406,1,1
457,IPC,363,1,1
458,IPC,392,1,1
458,BNS,309,2,2
459,IPC,420,1,1
460,IPC,323,1,1
460,IPC,325,2,2
460,BNS,115,3,3
461,IPC,498A,1,1
462,IPC,498A,1,1
463,IPC,392,1,1
464,IPC,379,1,1
464,IPC,392,2,2
465,IPC,307,1,1
465,BNS,109,2,2
466,IPC,379,1,1
467,MVA,185,1,1
468,IPC,420,1,1
468,ITA,66D,2,2
468,BNS,318,3,3
469,IPC,420,1,1
469,BNS,318,2,2
470,IPC,379,1,1
470,BNS,303,2,2
471,ITA,67,1,1
471,ITA,66D,2,2
472,NDPS,20,1,1
473,IPC,392,1,1
474,IPC,379,1,1
474,BNS,303,2,2
475,IPC,323,1,1
476,IPC,420,1,1
476,ITA,66D,2,2
477,IPC,354,1,1
478,IPC,420,1,1
479,IPC,392,1,1
480,IPC,379,1,1
480,BNS,303,2,2
481,IPC,420,1,1
481,BNS,318,2,2
482,IPC,392,1,1
482,BNS,309,2,2
483,IPC,420,1,1
483,ITA,66D,2,2
483,BNS,318,3,3
484,IPC,392,1,1
484,BNS,309,2,2
485,IPC,323,1,1
485,IPC,325,2,2
485,BNS,115,3,3
486,IPC,323,1,1
486,BNS,115,2,2
487,IPC,307,1,1
488,KPA,110,1,1
489,IPC,379,1,1
490,IPC,379,1,1
490,BNS,303,2,2
491,IPC,323,1,1
492,IPC,379,1,1
493,IPC,457,1,1
493,IPC,380,2,2
494,IPC,379,1,1
494,BNS,303,2,2
495,IPC,457,1,1
496,IPC,379,1,1
497,IPC,395,1,1
498,MVA,279,1,1
499,IPC,323,1,1
499,BNS,115,2,2
500,IPC,379,1,1
500,IPC,392,2,2
501,IPC,323,1,1
501,IPC,325,2,2
501,BNS,115,3,3
502,NDPS,22,1,1
503,IPC,379,1,1
504,NDPS,22,1,1
505,IPC,379,1,1
505,IPC,392,2,2
506,MVA,279,1,1
507,IPC,379,1,1
508,IPC,420,1,1
509,IPC,420,1,1
509,ITA,66D,2,2
510,NDPS,20,1,1
511,IPC,323,1,1
511,IPC,325,2,2
511,BNS,115,3,3
512,IPC,379,1,1
512,BNS,303,2,2
513,IPC,354,1,1
514,IPC,420,1,1
515,IPC,498A,1,1
516,IPC,379,1,1
516,BNS,303,2,2
517,IPC,379,1,1
517,BNS,303,2,2
518,IPC,379,1,1
518,IPC,392,2,2
519,IPC,379,1,1
520,IPC,363,1,1
521,IPC,420,1,1
521,ITA,66D,2,2
522,MVA,279,1,1
523,IPC,354,1,1
524,IPC,465,1,1
525,IPC,392,1,1
526,IPC,379,1,1
527,MVA,279,1,1
528,IPC,420,1,1
529,IPC,457,1,1
530,IPC,354,1,1
531,IPC,420,1,1
532,IPC,392,1,1
532,BNS,309,2,2
533,MVA,185,1,1
534,IPC,323,1,1
534,IPC,325,2,2
534,BNS,115,3,3
535,IPC,307,1,1
536,IPC,420,1,1
537,IPC,323,1,1
538,MVA,279,1,1
539,KPA,110,1,1
540,ITA,67,1,1
540,ITA,66D,2,2
541,IPC,420,1,1
541,ITA,66D,2,2
541,BNS,318,3,3
542,ITA,67,1,1
543,IPC,420,1,1
543,ITA,66D,2,2
543,BNS,318,3,3
544,IPC,420,1,1
544,ITA,66D,2,2
545,IPC,363,1,1
546,MVA,185,1,1
547,IPC,379,1,1
547,BNS,303,2,2
548,IPC,379,1,1
549,ITA,66C,1,1
549,ITA,66D,2,2
550,IPC,420,1,1
550,ITA,66D,2,2
550,BNS,318,3,3
551,IPC,420,1,1
552,MVA,279,1,1
553,IPC,420,1,1
553,BNS,318,2,2
554,IPC,457,1,1
555,NDPS,20,1,1
556,MVA,185,1,1
557,IPC,363,1,1
558,IPC,363,1,1
559,IPC,420,1,1
560,IPC,354,1,1
561,IPC,457,1,1
561,IPC,380,2,2
562,IPC,420,1,1
563,IPC,379,1,1
563,BNS,303,2,2
564,MVA,279,1,1
565,IPC,379,1,1
566,IPC,379,1,1
567,IPC,406,1,1
568,IPC,354,1,1
569,IPC,379,1,1
570,IPC,323,1,1
570,IPC,325,2,2
570,BNS,115,3,3
571,IPC,379,1,1
572,ITA,66C,1,1
572,ITA,66D,2,2
573,KPA,110,1,1
574,ITA,66C,1,1
575,IPC,457,1,1
575,IPC,380,2,2
576,IPC,420,1,1
577,IPC,406,1,1
578,IPC,379,1,1
578,IPC,392,2,2
579,IPC,498A,1,1
580,ITA,67,1,1
581,IPC,457,1,1
582,IPC,457,1,1
583,IPC,302,1,1
583,BNS,103,2,2
584,ITA,66C,1,1
584,ITA,66D,2,2
585,IPC,392,1,1
585,BNS,309,2,2
586,MVA,279,1,1
587,IPC,392,1,1
588,IPC,379,1,1
588,IPC,392,2,2
589,IPC,379,1,1
589,BNS,303,2,2
590,IPC,457,1,1
590,IPC,380,2,2
591,IPC,420,1,1
591,BNS,318,2,2
592,ITA,66C,1,1
593,ITA,67,1,1
594,IPC,379,1,1
595,IPC,323,1,1
595,BNS,115,2,2
596,IPC,379,1,1
596,BNS,303,2,2
597,IPC,498A,1,1
598,IPC,379,1,1
598,BNS,303,2,2
599,IPC,379,1,1
599,BNS,303,2,2
600,IPC,457,1,1
601,IPC,457,1,1
602,IPC,379,1,1
602,BNS,303,2,2
603,IPC,420,1,1
603,BNS,318,2,2
604,IPC,379,1,1
604,BNS,303,2,2
605,IPC,395,1,1
605,BNS,310,2,2
606,IPC,323,1,1
606,BNS,115,2,2
607,IPC,379,1,1
607,IPC,392,2,2
608,IPC,498A,1,1
609,IPC,379,1,1
610,IPC,420,1,1
610,BNS,318,2,2
611,ITA,66C,1,1
612,IPC,498A,1,1
613,IPC,392,1,1
614,IPC,323,1,1
615,IPC,307,1,1
615,BNS,109,2,2
616,IPC,457,1,1
616,IPC,380,2,2
617,MVA,279,1,1
618,IPC,420,1,1
619,IPC,420,1,1
619,ITA,66D,2,2
620,IPC,379,1,1
620,IPC,392,2,2
621,IPC,379,1,1
622,IPC,420,1,1
623,IPC,379,1,1
624,IPC,302,1,1
625,IPC,420,1,1
626,IPC,307,1,1
626,BNS,109,2,2
627,IPC,420,1,1
627,ITA,66D,2,2
628,MVA,279,1,1
629,IPC,323,1,1
629,IPC,325,2,2
630,IPC,354,1,1
631,IPC,379,1,1
631,BNS,303,2,2
632,IPC,379,1,1
633,IPC,457,1,1
633,IPC,380,2,2
634,MVA,279,1,1
635,IPC,323,1,1
635,IPC,325,2,2
636,IPC,302,1,1
636,BNS,103,2,2
637,IPC,392,1,1
637,BNS,309,2,2
638,IPC,323,1,1
638,BNS,115,2,2
639,IPC,379,1,1
639,BNS,303,2,2
640,ITA,67,1,1
640,ITA,66D,2,2
641,IPC,395,1,1
642,IPC,457,1,1
642,IPC,380,2,2
643,MVA,279,1,1
644,IPC,406,1,1
645,IPC,379,1,1
645,BNS,303,2,2
646,IPC,379,1,1
647,IPC,323,1,1
647,IPC,325,2,2
647,BNS,115,3,3
648,IPC,323,1,1
648,IPC,325,2,2
649,IPC,323,1,1
649,IPC,325,2,2
650,IPC,354,1,1
651,IPC,420,1,1
652,IPC,379,1,1
652,BNS,303,2,2
653,ITA,66C,1,1
653,ITA,66D,2,2
654,IPC,420,1,1
654,BNS,318,2,2
655,IPC,379,1,1
655,BNS,303,2,2
656,IPC,420,1,1
657,IPC,379,1,1
657,BNS,303,2,2
658,IPC,379,1,1
659,IPC,457,1,1
659,IPC,380,2,2
660,IPC,323,1,1
660,BNS,115,2,2
661,IPC,498A,1,1
662,IPC,457,1,1
663,IPC,395,1,1
663,BNS,310,2,2
664,IPC,379,1,1
664,BNS,303,2,2
665,IPC,406,1,1
666,IPC,379,1,1
666,BNS,303,2,2
667,IPC,498A,1,1
668,KPA,110,1,1
669,IPC,420,1,1
670,IPC,323,1,1
670,IPC,325,2,2
671,IPC,323,1,1
671,IPC,325,2,2
672,IPC,379,1,1
672,BNS,303,2,2
673,IPC,379,1,1
674,IPC,379,1,1
674,BNS,303,2,2
675,IPC,465,1,1
676,IPC,379,1,1
677,IPC,379,1,1
678,IPC,395,1,1
678,BNS,310,2,2
679,IPC,392,1,1
679,BNS,309,2,2
680,MVA,279,1,1
681,IPC,465,1,1
682,IPC,379,1,1
682,BNS,303,2,2
683,IPC,420,1,1
683,ITA,66D,2,2
684,IPC,395,1,1
684,BNS,310,2,2
685,IPC,323,1,1
685,IPC,325,2,2
686,IPC,379,1,1
687,MVA,279,1,1
688,IPC,379,1,1
688,BNS,303,2,2
689,IPC,420,1,1
690,IPC,457,1,1
691,IPC,379,1,1
691,BNS,303,2,2
692,IPC,420,1,1
692,ITA,66D,2,2
693,IPC,457,1,1
694,IPC,379,1,1
694,BNS,303,2,2
695,IPC,420,1,1
695,ITA,66D,2,2
696,IPC,457,1,1
696,IPC,380,2,2
697,IPC,379,1,1
697,BNS,303,2,2
698,IPC,323,1,1
698,IPC,325,2,2
698,BNS,115,3,3
699,IPC,379,1,1
700,IPC,379,1,1
700,BNS,303,2,2
701,IPC,363,1,1
702,IPC,363,1,1
703,IPC,406,1,1
704,ITA,66C,1,1
704,ITA,66D,2,2
705,IPC,392,1,1
706,KPA,110,1,1
707,IPC,379,1,1
708,IPC,307,1,1
709,IPC,323,1,1
710,IPC,323,1,1
710,BNS,115,2,2
711,IPC,379,1,1
712,IPC,379,1,1
712,BNS,303,2,2
713,MVA,279,1,1
714,IPC,457,1,1
715,IPC,379,1,1
715,BNS,303,2,2
716,ITA,67,1,1
717,IPC,420,1,1
717,ITA,66D,2,2
718,IPC,498A,1,1
719,IPC,420,1,1
720,IPC,395,1,1
721,IPC,354,1,1
722,IPC,354,1,1
723,IPC,379,1,1
724,IPC,323,1,1
725,IPC,420,1,1
726,IPC,420,1,1
727,IPC,379,1,1
727,BNS,303,2,2
728,IPC,379,1,1
728,BNS,303,2,2
729,MVA,185,1,1
730,ITA,66C,1,1
731,IPC,379,1,1
731,BNS,303,2,2
732,IPC,363,1,1
733,IPC,363,1,1
734,IPC,379,1,1
734,BNS,303,2,2
735,IPC,379,1,1
735,IPC,392,2,2
736,IPC,323,1,1
736,IPC,325,2,2
737,IPC,457,1,1
737,IPC,380,2,2
738,IPC,379,1,1
738,BNS,303,2,2
739,IPC,379,1,1
740,IPC,354,1,1
741,IPC,323,1,1
741,IPC,325,2,2
741,BNS,115,3,3
742,IPC,457,1,1
742,IPC,380,2,2
743,IPC,457,1,1
743,IPC,380,2,2
744,IPC,420,1,1
745,IPC,420,1,1
746,IPC,420,1,1
746,BNS,318,2,2
747,IPC,379,1,1
747,BNS,303,2,2
748,IPC,323,1,1
749,IPC,379,1,1
749,IPC,392,2,2
750,IPC,379,1,1
751,NDPS,22,1,1
752,IPC,307,1,1
753,IPC,379,1,1
754,MVA,279,1,1
755,IPC,379,1,1
756,NDPS,22,1,1
757,IPC,379,1,1
758,IPC,379,1,1
759,IPC,420,1,1
760,IPC,420,1,1
760,ITA,66D,2,2
761,IPC,354,1,1
762,IPC,354,1,1
763,IPC,363,1,1
764,IPC,379,1,1
765,IPC,379,1,1
765,IPC,392,2,2
766,IPC,354,1,1
766,ITA,67,2,2
767,IPC,379,1,1
767,BNS,303,2,2
768,MVA,279,1,1
769,IPC,302,1,1
769,BNS,103,2,2
770,IPC,379,1,1
771,IPC,363,1,1
772,IPC,420,1,1
772,ITA,66D,2,2
772,BNS,318,3,3
773,ITA,67,1,1
773,ITA,66D,2,2
774,ITA,67,1,1
775,IPC,420,1,1
775,ITA,66D,2,2
776,IPC,323,1,1
